fy_year	lower_bracket	marginal_rate
1989-90	0	0
1989-90	5100	0.21
1989-90	17650	0.29
1989-90	20600	0.39
1989-90	35000	0.47
1989-90	50000	0.48
1990-91	0	0
1990-91	5250	0.205
1990-91	17650	0.245
1990-91	20600	0.295
1990-91	20700	0.385
1990-91	35000	0.425
1990-91	36000	0.465
1990-91	50000	0.47
1991-92	0	0
1991-92	5400	0.2
1991-92	20700	0.38
1991-92	36000	0.46
1991-92	50000	0.47
1992-93	0	0
1992-93	5400	0.2
1992-93	20700	0.38
1992-93	36000	0.46
1992-93	50000	0.47
1993-94	0	0
1993-94	5400	0.2
1993-94	20700	0.355
1993-94	36000	0.385
1993-94	38000	0.44125
1993-94	50000	0.47
1994-95	0	0
1994-95	5400	0.2
1994-95	20700	0.34
1994-95	38000	0.43
1994-95	50000	0.47
1995-96	0	0
1995-96	5400	0.2
1995-96	20700	0.34
1995-96	38000	0.43
1995-96	50000	0.47
1996-97	0	0
1996-97	5400	0.2
1996-97	20700	0.34
1996-97	38000	0.43
1996-97	50000	0.47
1997-98	0	0
1997-98	5400	0.2
1997-98	20700	0.34
1997-98	38000	0.43
1997-98	50000	0.47
1998-99	0	0
1998-99	5400	0.2
1998-99	20700	0.34
1998-99	38000	0.43
1998-99	50000	0.47
1999-00	0	0
1999-00	5400	0.2
1999-00	20700	0.34
1999-00	38000	0.43
1999-00	50000	0.47
2000-01	0	0
2000-01	6000	0.17
2000-01	20000	0.3
2000-01	50000	0.42
2000-01	60000	0.47
2001-02	0	0
2001-02	6000	0.17
2001-02	20000	0.3
2001-02	50000	0.42
2001-02	60000	0.47
2002-03	0	0
2002-03	6000	0.17
2002-03	20000	0.3
2002-03	50000	0.42
2002-03	60000	0.47
2003-04	0	0
2003-04	6000	0.17
2003-04	21600	0.3
2003-04	52000	0.42
2003-04	62500	0.47
2004-05	0	0
2004-05	6000	0.17
2004-05	21600	0.3
2004-05	58000	0.42
2004-05	70000	0.47
2005-06	0	0
2005-06	6000	0.15
2005-06	21600	0.3
2005-06	63000	0.42
2005-06	95000	0.47
2006-07	0	0
2006-07	6000	0.15
2006-07	25000	0.3
2006-07	75000	0.4
2006-07	150000	0.45
2007-08	0	0
2007-08	6000	0.15
2007-08	30000	0.3
2007-08	75000	0.4
2007-08	150000	0.45
2008-09	0	0
2008-09	6000	0.15
2008-09	34000	0.3
2008-09	80000	0.4
2008-09	180000	0.45
2009-10	0	0
2009-10	6000	0.15
2009-10	35000	0.3
2009-10	80000	0.38
2009-10	180000	0.45
2010-11	0	0
2010-11	6000	0.15
2010-11	35000	0.3
2010-11	80000	0.37
2010-11	180000	0.45
2011-12	0	0
2011-12	6000	0.15
2011-12	35000	0.3
2011-12	80000	0.37
2011-12	180000	0.45
2012-13	0	0
2012-13	18200	0.19
2012-13	37000	0.325
2012-13	80000	0.37
2012-13	180000	0.45
2013-14	0	0
2013-14	18200	0.19
2013-14	37000	0.325
2013-14	80000	0.37
2013-14	180000	0.45
2014-15	0	0
2014-15	18200	0.19
2014-15	37000	0.325
2014-15	80000	0.37
2014-15	180000	0.45
2015-16	0	0
2015-16	18200	0.19
2015-16	37000	0.325
2015-16	80000	0.37
2015-16	180000	0.45
2016-17	0	0
2016-17	18200	0.19
2016-17	37000	0.325
2016-17	87000	0.37
2016-17	180000	0.45
2017-18	0	0
2017-18	18200	0.19
2017-18	37000	0.325
2017-18	87000	0.37
2017-18	180000	0.45
2018-19	0	0
2018-19	18200	0.19
2018-19	37000	0.325
2018-19	90000	0.37
2018-19	180000	0.45
2019-20	0	0
2019-20	18200	0.19
2019-20	37000	0.325
2019-20	90000	0.37
2019-20	180000	0.45
2020-21	0	0
2020-21	18200	0.19
2020-21	37000	0.325
2020-21	90000	0.37
2020-21	180000	0.45
