fy_year	family_status_index	family_status	max_offset	lower_threshold	upper_threshold	taper_rate	source	sapto	sato	pto
2000-01	2.0	married	2310.0	25590.0	22035.0	NA	ATO Historical-rates-of-personal-income-tax	0.0	0.0	1.0
2000-01	3.0	separated_due_illness	2942.0	29306.0	26421.0	NA	ATO Historical-rates-of-personal-income-tax	0.0	0.0	1.0
2000-01	1.0	single	1608.0	15459.0	28323.0	NA	ATO Historical-rates-of-personal-income-tax	0.0	0.0	1.0
2001-02	2.0	married	2490.0	26648.0	23284.0	NA	ATO Historical-rates-of-personal-income-tax	0.0	0.0	1.0
2001-02	3.0	separated_due_illness	3146.0	30506.0	27837.0	NA	ATO Historical-rates-of-personal-income-tax	0.0	0.0	1.0
2001-02	1.0	single	1710.0	16059.0	29739.0	NA	ATO Historical-rates-of-personal-income-tax	0.0	0.0	1.0
2002-03	2.0	married	2848.0	28754.0	25769.0	0.125	ATO Historical-rates-of-personal-income-tax	0.0	0.0	1.0
2002-03	3.0	separated_due_illness	3564.0	32966.0	30739.0	0.125	ATO Historical-rates-of-personal-income-tax	0.0	0.0	1.0
2002-03	1.0	single	1925.0	17342.0	32766.0	0.125	ATO Historical-rates-of-personal-income-tax	0.0	0.0	1.0
2003-04	2.0	married	3204.0	33612.0	29622.0	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2003-04.pdf	0.0	1.0	0.0
2003-04	3.0	separated_due_illness	4080.0	38766.0	35703.0	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2003-04.pdf	0.0	0.0	0.0
2003-04	1.0	single	2230.0	20500.0	38340.0	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2003-04.pdf	0.0	1.0	0.0
2004-05	2.0	married	3204.0	33612.0	29622.0	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2004-05.pdf	0.0	1.0	0.0
2004-05	3.0	separated_due_illness	4080.0	38766.0	35703.0	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2004-05.pdf	0.0	1.0	0.0
2004-05	1.0	single	2230.0	20500.0	38340.0	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2004-05.pdf	0.0	1.0	0.0
2005-06	2.0	married	3204.0	36494.0	31063.0	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax_2005-06.pdf	0.0	1.0	0.0
2005-06	3.0	separated_due_illness	4080.0	42334.0	37487.0	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax_2005-06.pdf	0.0	1.0	0.0
2005-06	1.0	single	2230.0	21968.0	39808.0	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax_2005-06.pdf	0.0	1.0	0.0
