Date Note C,Standard rate,Married rate
14/11/1963,598,546
1/10/1964,624,572
13/10/1966 Note D,676,611
10/10/1968,728,650
9/10/1969,780,689
8/10/1970,806,715.00 Note E
8/04/1971,832.00 Note F,741.00 Note F
7/10/1971,897.00 Note F,793.00 Note F
4/05/1972,949,832
5/10/1972,"1,040.00",897.00 Note G
14/12/1972,"1,118.00",975
4/10/1973,"1,196.00","1,053.00"
4/04/1974,"1,352.00","1,183.00"
8/08/1974,"1,612.00","1,339.00"
1/05/1975,"1,872.00","1,560.00"
13/11/1975,"2,015.00","1,677.00"
Date Note C,Standard rate,Married rate
13/05/1976,"2,145.00 Note H","1,781.00 Note H"
11/11/1976,"2,262.00","1,885.00"
12/05/1977,"2,449.20","2,041.00"
10/11/1977,"2,563.60","2,137.20"
11/05/1978,"2,675.40","2,230.80"
9/11/1978,"2,766.40 Note I","2,306.20 Note I"
8/11/1979,"3,010.80","2,509.00 Note J"
8/05/1980,"3,174.60","2,644.20"
6/11/1980,"3,333.20","2,776.80"
7/05/1981,"3,465.80","2,888.60"
5/11/1981,"3,624.40","3,021.20"
6/05/1982,"3,855.80","3,213.60"
4/11/1982,"4,017.00","3,348.80"
5/05/1983,"4,282.20","3,569.80"
3/11/1983,"4,466.80","3,723.20"
3/05/1984,"4,648.80","3,876.60"
Date Note C,Standard rate,Married rate
1/11/1984,"4,778.80","3,985.80"
2/05/1985,"4,903.60","4,089.80"
14/11/1985,"5,090.80","4,245.80"
1/05/1986,"5,309.20","4,427.80"
25/12/1986 Note K,"5,522.40","4,604.60"
25/06/1987,"5,831.80","4,862.00"
24/12/1987,"6,037.20","5,031.00"
23/06/1988,"6,242.60","5,202.60"
22/12/1988,"6,461.00","5,384.60"
22/06/1989,"6,718.40","5,600.40"
23/11/1989 Note L,"6,947.20","5,790.20"
26/04/1990,"7,342.40","6,120.40"
27/09/1990,"7,584.20","6,323.20"
28/03/1991,"7,841.60","6,539.00"
26/09/1991,"7,841.60","6,539.00"
Date Note C,Standard rate,Partnered rate
26/03/1992,"7,958.60","6,637.80"
24/09/1992,"7,958.60","6,637.80"
28/01/1993 Note M,"8,114.60","6,767.80"
20/09/1993 Note N,"8,221.20","6,856.20"
20/03/1994,"8,270.60","6,897.80"
20/09/1994,"8,361.60","6,973.20"
20/03/1995,"8,478.60","7,072.00"
20/09/1995,"8,733.40","7,285.20"
20/03/1996,"8,907.60","7,430.80"
20/09/1996,"9,006.40","7,511.40"
20/03/1997,"9,042.80","7,542.60"
20/09/1997,"9,042.80","7,542.60"
20/03/1998,"9,219.60","7,690.80"
20/09/1998,"9,289.80","7,750.60"
Date Note C,Standard rate,Partnered rate
20/03/1999,"9,396.40","7,841.60"
20/09/1999,"9,529.00","7,953.40"
20/03/2000,"9,672.00","8,073.00"
1/07/2000,"9,672.00","8,073.00"
20/09/2000,"9,851.40","8,223.80"
20/03/2001,"10,049.00","8,390.20"
20/09/2001,"10,262.20","8,569.60"
20/03/2002,"10,550.80","8,811.40"
20/09/2002,"10,740.60","8,970.00"
20/03/2003,"11,018.80","9,201.40"
20/09/2003,"11,338.60","9,469.20"
20/03/2004,"11,629.80","9,713.60"
20/09/2004,"11,793.60","9,848.80"
20/03/2005,"11,934.00","9,965.80"
Date Note C,Standard rate,Partnered rate
20/09/2005,"12,256.40","10,233.60"
20/03/2006,"12,529.40","10,462.40"
20/09/2006,"12,841.40","10,725.00"
20/03/2007,"13,176.80","11,003.20"
20/09/2007 Note O,"13,499.20","11,273.60"
20/03/2008,"13,728.00","11,466.00"
20/09/2008,"14,112.80","11,785.80"
20/03/2009,"14,307.80","11,949.60"
20/09/2009,"16,010.80","12,069.20"
20/03/2010,"16,749.20","12,625.60"
20/09/2010,"17,118.40","12,903.80"
20/03/2011,"17,443.40","13,148.20"
20/09/2011,"17,914.00","13,504.40"
20/03/2012,"18,077.80","13,626.60"
20/09/2012,"18,512.00","13,954.20"
20/03/2013,"19,076.20","14,380.60"
20/09/2013,"19,544.20","14,731.60"
20/03/2014,"19,916.00","15,012.40"
20/09/2014,"20,194.20","15,223.00"
20/03/2015,"20,337.20","15,329.60"
20/09/2015,"20,498.40","15,451.80"
20/03/2016,"20,664.80","15,576.60"
20/09/2016,"20,745.40","15,639.00"
