fy_year	sato	pto	sapto	lower_threshold	upper_threshold	taper	rate	lower_family_threshold	upper_family_threshold	lower_up_for_each_child
1999-00	FALSE	FALSE	FALSE	13351.0	14435.0	0.2	0.015	NA	NA	0.0
1999-00	TRUE	FALSE	TRUE	NA	0.0	NA	NA	NA	NA	0.0
2000-01	FALSE	FALSE	FALSE	13807.0	14928.0	0.2	0.015	23300.0	25190.0	2140.0
2000-01	TRUE	FALSE	TRUE	2e4	21623.0	0.2	0.015	31729.0	34303.0	2140.0
2001-02	FALSE	FALSE	FALSE	14539.0	15719.0	0.2	0.015	24534.0	26524.0	2253.0
2001-02	TRUE	FALSE	TRUE	2e4	21623.0	0.2	0.015	31729.0	34303.0	2253.0
2002-03	FALSE	FALSE	FALSE	15062.0	16284.0	0.2	0.015	25417.0	27479.0	2334.0
2002-03	TRUE	FALSE	TRUE	2e4	21623.0	0.2	0.015	31729.0	34303.0	2334.0
2003-04	FALSE	FALSE	FALSE	15529.0	16789.0	0.2	0.015	26205.0	28331.0	2406.0
2003-04	TRUE	FALSE	TRUE	20500.0	22163.0	0.2	0.015	31729.0	34303.0	2406.0
2004-05	FALSE	FALSE	FALSE	15902.0	17192.0	0.2	0.015	26834.0	29011.0	2464.0
2004-05	TRUE	FALSE	TRUE	20500.0	22163.0	0.2	0.015	31729.0	34303.0	2464.0
2005-06	FALSE	FALSE	FALSE	16284.0	17605.0	0.2	0.015	27478.0	29707.0	2523.0
2005-06	TRUE	FALSE	TRUE	21968.0	23750.0	0.2	0.015	31729.0	34303.0	2523.0
2006-07	FALSE	FALSE	FALSE	16740.0	19695.0	0.1	0.015	28247.0	33233.0	2594.0
2006-07	TRUE	FALSE	TRUE	24867.0	29256.0	0.1	0.015	33500.0	39413.0	2594.0
2007-08	FALSE	FALSE	FALSE	17309.0	20365.0	0.1	0.015	29207.0	34362.0	2682.0
2007-08	TRUE	FALSE	TRUE	25867.0	30433.0	0.1	0.015	33500.0	39413.0	2682.0
2008-09	FALSE	FALSE	FALSE	17794.0	20935.0	0.1	0.015	30025.0	35325.0	2757.0
2008-09	TRUE	FALSE	TRUE	28867.0	33962.0	0.1	0.015	42e3	49413.0	2757.0
2009-10	FALSE	FALSE	FALSE	18488.0	21752.0	0.1	0.015	31196.0	36702.0	2865.0
2009-10	TRUE	FALSE	TRUE	29867.0	35139.0	0.1	0.015	43500.0	51178.0	2865.0
2010-11	FALSE	FALSE	FALSE	18839.0	22165.0	0.1	0.015	31789.0	37400.0	2919.0
2010-11	TRUE	FALSE	TRUE	30685.0	36101.0	0.1	0.015	44500.0	52354.0	2919.0
2011-12	FALSE	FALSE	FALSE	19404.0	22829.0	0.1	0.015	32743.0	38522.0	3007.0
2011-12	TRUE	FALSE	TRUE	30685.0	36101.0	0.1	0.015	44500.0	52354.0	3007.0
2012-13	FALSE	FALSE	FALSE	20542.0	24168.0	0.1	0.015	33693.0	39640.0	3094.0
2012-13	TRUE	FALSE	TRUE	32279.0	37976.0	0.1	0.015	46e3	54119.0	3094.0
2013-14	FALSE	FALSE	FALSE	20542.0	24168.0	0.1	0.015	34367.0	40433.0	3156.0
2013-14	TRUE	FALSE	TRUE	32279.0	37976.0	0.1	0.015	46e3	54119.0	3156.0
2014-15	FALSE	FALSE	FALSE	20542.0	25679.0	0.1	0.02	34367.0	42960.0	3156.0
2014-15	TRUE	FALSE	TRUE	32279.0	40350.0	0.1	0.02	46e3	57501.0	3156.0
2015-16	FALSE	FALSE	FALSE	20896.0	26121.0	0.1	0.02	35261.0	44078.0	3238.0
2015-16	TRUE	FALSE	TRUE	33044.0	41306.0	0.1	0.02	46966.0	58709.0	3238.0
2016-17	FALSE	FALSE	FALSE	21335.0	26670.0	0.1	0.02	36001.0	44077.0	3306.0
2016-17	TRUE	FALSE	TRUE	33738.0	42174.0	0.1	0.02	46966.0	58709.0	3306.0
