Occupation,nNG,nIndividuals,avgTaxableIncome,label,keep_label,color,fontface,propNG
"1100 Chief Executives, General Managers and Legislators - type not specified",144,1917,80418.7602094241,,FALSE,black,plain,0.0751173708920188
1112 General Managers,42639,226199,111612.46057112,,FALSE,black,plain,0.188502159602828
1113 Legislators,566,4069,89199.1228070176,"",FALSE,black,plain,0.139100516097321
1210 Farmers and farm managers - type not specified,2,319,26014.7962382445,Farmers,TRUE,black,plain,0.00626959247648903
1211 Aquaculture Farmers,103,1816,49232.3344370861,,FALSE,black,plain,0.0567180616740088
1212 Crop Farmers,775,10531,54508.4839633448,"",FALSE,black,plain,0.0735922514481056
1213 Livestock Farmers,967,11558,52112.2725527831,,FALSE,black,plain,0.0836649939435889
1214 Mixed Crop and Livestock Farmers,306,3301,59907.5661245781,,FALSE,black,plain,0.0926991820660406
1311 Advertising and Sales Managers,27758,169868,98388.5038180083,"",FALSE,black,plain,0.163409235406316
1321 Corporate Services Managers,1986,10071,114295.342076503,,FALSE,black,plain,0.197199880845993
1322 Finance Managers,9067,44499,122893.261883327,,FALSE,black,plain,0.203757387806468
1323 Human Resource Managers,4989,24214,116631.057897347,"",FALSE,black,plain,0.206037829354919
1324 Policy and Planning Managers,7805,39604,111978.306250789,,FALSE,black,plain,0.197076052923947
1325 Research and Development Managers,1722,10897,94221.3925912308,,FALSE,black,plain,0.158025144535193
1331 Construction Managers,10355,58335,101500.394372725,"",FALSE,black,plain,0.177509214022457
1332 Engineering Managers,5862,25457,148957.377805731,,FALSE,black,plain,0.230270652472797
"1333 Importers, Exporters and Wholesalers",497,4013,108704.459945096,,FALSE,black,plain,0.123847495639173
1334 Manufacturers,2343,19775,73107.4816875759,"",FALSE,black,plain,0.118482932996207
1335 Production Managers,3012,16259,125748.886426593,,FALSE,black,plain,0.185251245464051
1336 Supply and Distribution Managers,2858,16011,97666.1782388601,,FALSE,black,plain,0.178502279682718
1341 Child Care Centre Managers,954,8354,61580.1640718563,"",FALSE,black,plain,0.114196791955949
1342 Health and Welfare Services Managers,4681,34744,65152.2654966716,,FALSE,black,plain,0.134728298411236
1343 School Principals,3116,11674,115065.572396057,,FALSE,black,plain,0.266917937296556
1344 Other Education Managers,1160,8762,66509.9107224509,"",FALSE,black,plain,0.132389865327551
1351 ICT Managers,12020,56301,124163.410965965,,FALSE,black,plain,0.213495319798938
1391 Commissioned Officers (Management),2719,10919,93499.1790949066,,FALSE,black,plain,0.24901547760784
1392 Senior Non-commissioned Defence Force Members,1549,5789,97884.8290701694,"",FALSE,black,plain,0.267576438072206
1399 Other Specialist Managers,4150,29048,76974.7664221005,,FALSE,black,plain,0.142866978793721
1411 Cafe and Restaurant Managers,3601,50535,44458.4086584206,,FALSE,black,plain,0.0712575442762442
1412 Caravan Park and Camping Ground Managers,411,2459,49413.161986162,"",FALSE,black,plain,0.167141114274095
1413 Hotel and Motel Managers,1560,13397,64404.414978698,,FALSE,black,plain,0.116443979995521
1414 Licensed Club Managers,397,3412,70141.5735250954,,FALSE,black,plain,0.116354044548652
1419 Other Accommodation and Hospitality Managers,197,1656,57300.3579201935,"",FALSE,black,plain,0.118961352657005
1421 Retail Managers,8964,106747,53421.9780959614,,FALSE,black,plain,0.0839742568877814
"1491 Amusement, Fitness and Sports Centre Managers",473,4645,54920.8126614987,,FALSE,black,plain,0.101829924650161
1492 Call or Contact Centre and Customer Service Managers,10203,97680,55782.1853221346,"",FALSE,black,plain,0.104453316953317
1493 Conference and Event Organisers,1112,13900,52124.4173687622,,FALSE,black,plain,0.08
1494 Transport Services Managers,2768,21185,77728.1714015599,,FALSE,black,plain,0.130658484776965
"1499 Other Hospitality, Retail and Service Managers",6937,32472,112723.147253627,"",FALSE,black,plain,0.213630204483863
"2111 Actors, Dancers and Other Entertainers",570,11260,40759.8575506199,,FALSE,black,plain,0.0506216696269982
2112 Music Professionals,388,5405,67315.6262063846,,FALSE,black,plain,0.0717853839037928
2113 Photographers,347,5479,44323.3692110562,"",FALSE,black,plain,0.0633327249498084
2114 Visual Arts and Crafts Professionals,104,2571,42378.7532213979,,FALSE,black,plain,0.0404511863088293
2120 Media Professionals - type not specified,2,157,39820.949044586,,FALSE,black,plain,0.0127388535031847
"2121 Artistic Directors, and Media Producers and Presenters",1006,9764,85747.4208098411,"",FALSE,black,plain,0.103031544448996
"2122 Authors, and Book and Script Editors",174,2173,62173.5336095764,,FALSE,black,plain,0.0800736309249885
"2123 Film, Television, Radio and Stage Directors",766,8855,78079.013566987,,FALSE,black,plain,0.0865047995482778
2124 Journalists and Other Writers,1634,16438,74141.7031259521,"",FALSE,black,plain,0.099403820416109
2211 Accountants,31154,159086,92212.8905290446,,FALSE,black,plain,0.195831185648014
"2212 Auditors, Company Secretaries and Corporate Treasurers",2933,18709,102248.319154628,,FALSE,black,plain,0.156769469239404
"2220 Financial Brokers, Dealers, Investment Advisers and Managers - type not specified",1,24,51139.125,Investment Advisers,TRUE,black,plain,0.0416666666666667
2221 Financial Brokers,2713,14771,104579.550704989,,FALSE,black,plain,0.18367070611333
2222 Financial Dealers,709,4617,264627.21941663,Financial Dealers,TRUE,black,plain,0.153562919644791
2223 Financial Investment Advisers and Managers,3351,19424,133891.080090708,"",FALSE,black,plain,0.172518533772652
2231 Human Resource Professionals,5720,47040,70509.1761589686,,FALSE,black,plain,0.121598639455782
