Occupation,avgTaxableIncome,avgRentLosses,avgTax,avgTaxNoNG,avgBenefit,nIndividuals,label,keep_label,color,fontface
1351 ICT Managers,124163.410965965,-12022.3643926789,36370.7302767262,41059.452389871,4688.72211314476,56301,,FALSE,black,plain
1391 Commissioned Officers (Management),93499.1790949066,-10458.2945936006,24411.6798470136,28490.4147385178,4078.73489150423,10919,,FALSE,black,plain
1392 Senior Non-commissioned Defence Force Members,97884.8290701694,-8671.30664945126,26122.0833373661,29503.8929306521,3381.80959328599,5789,,FALSE,black,plain
1399 Other Specialist Managers,76974.7664221005,-8601.00168674699,18103.2944156247,21321.5495624505,3218.25514682584,29048,,FALSE,black,plain
1411 Cafe and Restaurant Managers,44458.4086584206,-6971.08914190503,6552.0271170314,9061.61920811721,2509.59209108581,50535,,FALSE,black,plain
1412 Caravan Park and Camping Ground Managers,49413.161986162,-5032.98296836983,8335.73831501832,10147.6121836315,1811.87386861314,2459,,FALSE,black,plain
1413 Hotel and Motel Managers,64404.414978698,-7880.51153846154,13732.5893923313,16485.29964842,2752.71025608876,13397,,FALSE,black,plain
1414 Licensed Club Managers,70141.5735250954,-7942.76070528967,15745.8428661579,18486.0953094829,2740.25244332494,3412,,FALSE,black,plain
1419 Other Accommodation and Hospitality Managers,57300.3579201935,-7381.71065989848,11175.1288512696,13832.5446888331,2657.41583756345,1656,,FALSE,black,plain
1421 Retail Managers,53421.9780959614,-7270.14156626506,9778.91211454612,12396.1630784015,2617.25096385542,106747,,FALSE,black,plain
"1491 Amusement, Fitness and Sports Centre Managers",54920.8126614987,-7166.34460887949,10318.4925581395,12898.3766173362,2579.88405919662,4645,,FALSE,black,plain
1492 Call or Contact Centre and Customer Service Managers,55782.1853221346,-7466.18082916789,10628.5867159685,13316.4118144689,2687.82509850044,97680,,FALSE,black,plain
1493 Conference and Event Organisers,52124.4173687622,-6723.43435251799,9311.79025275438,11732.2266196609,2420.43636690648,13900,,FALSE,black,plain
1494 Transport Services Managers,77728.1714015599,-9146.20917630058,18363.2191335382,21828.0084253656,3464.78929182742,21185,,FALSE,black,plain
"1499 Other Hospitality, Retail and Service Managers",112723.147253627,-10359.1559752054,31909.0274289147,35949.0982592448,4040.07083033011,32472,,FALSE,black,plain
"2111 Actors, Dancers and Other Entertainers",40759.8575506199,-7538.82631578947,5220.54871822317,7934.52619190739,2713.97747368421,11260,,FALSE,black,plain
2112 Music Professionals,67315.6262063846,-7381.44845360825,14770.8910412027,17317.4907576975,2546.59971649484,5405,,FALSE,black,plain
2113 Photographers,44323.3692110562,-6156.08645533141,6503.41291598023,8719.60403989954,2216.19112391931,5479,,FALSE,black,plain
2114 Visual Arts and Crafts Professionals,42378.7532213979,-6407.83653846154,5803.35115970324,8110.1723135494,2306.82115384615,2571,,FALSE,black,plain
2120 Media Professionals - type not specified,39820.949044586,-8709.5,4882.54165605096,8017.96165605095,3135.42,157,,FALSE,black,plain
"2121 Artistic Directors, and Media Producers and Presenters",85747.4208098411,-8252.7634194831,21388.494115838,24607.0718494364,3218.57773359841,9764,,FALSE,black,plain
"2122 Authors, and Book and Script Editors",62173.5336095764,-6628.82183908046,12929.4720994475,15283.8126297866,2354.34053033911,2173,,FALSE,black,plain
"2123 Film, Television, Radio and Stage Directors",78079.013566987,-8586.56657963447,18484.2596806105,21746.5762571824,3262.31657657186,8855,,FALSE,black,plain
2124 Journalists and Other Writers,74141.7031259521,-7703.76499388005,17125.8875784535,19866.7325667345,2740.84498828106,16438,,FALSE,black,plain
2211 Accountants,92212.8905290446,-10182.4318225589,23910.0273063274,27881.1757171254,3971.14841079797,159086,Accountants,TRUE,black,plain
"2212 Auditors, Company Secretaries and Corporate Treasurers",102248.319154628,-10455.6951926355,27823.844470305,31901.5655954328,4077.72112512786,18709,,FALSE,black,plain
"2220 Financial Brokers, Dealers, Investment Advisers and Managers - type not specified",51139.125,-36484,8957.085,22120.01875,13162.93375,24,"Financial Brokers, Dealers, Investment Advisers",TRUE,black,plain
2221 Financial Brokers,104579.550704989,-11177.3251013638,28733.0247749458,33092.1815644777,4359.15678953188,14771,,FALSE,black,plain
2222 Financial Dealers,264627.21941663,-16738.4414668547,99614.3375141489,107816.173832908,8201.8363187588,4617,Financial Dealers,TRUE,black,plain
2223 Financial Investment Advisers and Managers,133891.080090708,-12225.2106833781,40164.521235376,44932.3534018934,4767.83216651746,19424,,FALSE,black,plain
2231 Human Resource Professionals,70509.1761589686,-8000.19353146853,15872.6657748442,18632.7325432008,2760.06676835664,47040,,FALSE,black,plain
2232 ICT Trainers,72863.640504555,-8465.60176991151,16684.9559740715,19665.4044870419,2980.44851297046,1427,,FALSE,black,plain
2233 Training and Development Professionals,72790.5909583695,-8379.43931034483,16659.7538806375,19603.3118047986,2943.5579241611,18467,,FALSE,black,plain
"2241 Actuaries, Mathematicians and Statisticians",129777.117095508,-12188.8061366806,38560.0756672482,43313.7100605536,4753.63439330543,4591,,FALSE,black,plain
"2242 Archivists, Curators and Records Managers",60570.4707509219,-7391.75971731449,12352.3694703319,14993.9695115416,2641.60004120967,11944,,FALSE,black,plain
2243 Economists,140851.418883367,-11391.1438979964,42879.0533645133,47321.5994847319,4442.54612021858,3421,,FALSE,black,plain
2244 Intelligence and Policy Analysts,86931.406361829,-8174.62635658915,21850.2484811133,25038.3527601831,3188.10427906976,10068,,FALSE,black,plain
2245 Land Economists and Valuers,102319.931253848,-9215.69061413673,27851.7731890006,31445.892528514,3594.11933951332,4878,,FALSE,black,plain
2246 Librarians,63474.2626490191,-6222.79422382672,13397.7345536469,15592.4846211318,2194.75006748493,10662,,FALSE,black,plain
2247 Management and Organisation Analysts,94553.8647336195,-10064.9735385446,24823.0072461116,28748.346926144,3925.33968003241,42640,,FALSE,black,plain
2249 Other Information and Organisation Professionals,52559.3416032524,-7680.70161290323,9468.36297717086,12233.415557816,2765.05258064516,9648,,FALSE,black,plain
2251 Advertising and Marketing Professionals,71587.4757257427,-8852.78044704408,16244.6791253812,19318.6999073868,3074.02078200561,44308,,FALSE,black,plain
2252 ICT Sales Professionals,113612.394106218,-12022.3366093366,32255.8337014249,36944.5449790661,4688.71127764127,15449,,FALSE,black,plain
2253 Public Relations Professionals,77137.270119225,-7651.79377822378,18159.3581911326,21014.734920005,2855.3767288724,16112,,FALSE,black,plain
2254 Technical Sales Representatives,79527.1799609488,-8981.91870117188,18983.8770865273,22465.5484782271,3481.67139169973,27676,,FALSE,black,plain
"2300 Design, Engineering, Science and Transport Professionals - type not specified",55003.0431034483,-4302,10348.0955172414,11896.8155172414,1548.72,116,,FALSE,black,plain
2311 Air Transport Professionals,133633.874434234,-14298.1828358209,40064.2110293513,45640.5023353214,5576.29130597015,14598,Air Transport Professionals,TRUE,black,plain
2312 Marine Transport Professionals,118806.660321293,-12984.1711627907,34281.5975253041,39345.4242787925,5063.82675348837,10774,Marine Transport Professionals,TRUE,black,plain
"2320 Architects, Designers, Planners and Surveyors",52636.5825688073,-8634.25,9496.16972477064,12604.4997247706,3108.33,218,,FALSE,black,plain
2321 Architects and Landscape Architects,89185.6928175093,-9162.00116054159,22729.4201988286,26302.6006514398,3573.18045261122,19485,,FALSE,black,plain
2322 Cartographers and Surveyors,90694.8610377358,-9439.37883008357,23317.995804717,26999.3535484496,3681.3577437326,10607,,FALSE,black,plain
"2323 Fashion, Industrial and Jewellery Designers",67566.0200925314,-7840.84689655172,14857.2769319233,17562.3691112337,2705.09217931035,7576,,FALSE,black,plain
"2324 Graphic and Web Designers, and Illustrators",58298.1008617079,-6677.50368731563,11534.3163102148,13938.2176376485,2403.90132743363,33446,,FALSE,black,plain
2325 Interior Designers,59884.3529104218,-7242.92465753425,12105.3670477518,14705.9107609448,2600.54371319299,5748,,FALSE,black,plain
2326 Urban and Regional Planners,91059.4423788003,-8296.06226650062,23460.1825277321,26695.6468116674,3235.46428393524,9737,,FALSE,black,plain
2330 Engineering Professionals - type not specified,88836.4714964371,-21141.3278688525,22593.2238836105,30838.3417524629,8245.11786885246,843,Engineering Professionals,TRUE,black,plain
2331 Chemical and Materials Engineers,117617.237701743,-12178.0108035111,33817.7227036798,38567.1469170491,4749.42421336934,7748,,FALSE,black,plain
2332 Civil Engineering Professionals,106075.483231908,-11536.6845377757,29316.4384604439,33815.7454301765,4499.30696973252,45708,,FALSE,black,plain
2333 Electrical Engineers,113448.51605566,-12108.0493722069,32191.9212617073,36914.0605168679,4722.13925516067,22434,,FALSE,black,plain
2334 Electronics Engineers,96947.1065261926,-10375.6395348837,25756.3715452151,29802.8709638198,4046.49941860465,6837,,FALSE,black,plain
"2335 Industrial, Mechanical and Production Engineers",100542.60518874,-11357.3032970312,27158.6160236088,31587.9643094509,4429.34828584216,38571,,FALSE,black,plain
2336 Mining Engineers,166730.584894749,-14540.3101830127,52971.9281089521,58769.7385881032,5797.81047915112,8655,Mining Engineers,TRUE,black,plain
2339 Other Engineering Professionals,114522.764251002,-11506.8636444762,32610.8780578908,37098.5548792365,4487.67682134571,28218,,FALSE,black,plain
2340 Natural and Physical Science Professionals - type not specified,60251.8474945534,-8202.07692307692,12237.6650980392,15163.6039240825,2925.93882604324,459,,FALSE,black,plain
2341 Agricultural and Forestry Scientists,79266.9022398507,-8189.053736356,18894.0812727485,22054.8228307206,3160.74155797212,8589,,FALSE,black,plain
"2342 Chemists, and Food and Wine Scientists",79988.7173738991,-8816.70478284772,19143.1074939952,22581.1146411313,3438.00714713608,12503,,FALSE,black,plain
2343 Environmental Scientists,75217.7681737414,-8169.26428992339,17497.1300199408,20467.9426608293,2970.81264088849,25343,,FALSE,black,plain
2344 Geologists and Geophysicists,131693.687200334,-11754.4153175592,39307.5380081301,43891.7599819782,4584.22197384808,9605,,FALSE,black,plain
2345 Life Scientists,73617.5741154184,-7817.01095556908,16945.0630698194,19706.4881776851,2761.42510786577,14785,,FALSE,black,plain
2346 Medical Laboratory Scientists,76410.0832579186,-8374.22004241782,17908.4787239819,21012.8782871312,3104.39956314928,12159,,FALSE,black,plain
2347 Veterinarians,82412.3776215443,-8478.79938900204,20087.8272724023,23394.5590341131,3306.73176171079,8409,,FALSE,black,plain
2349 Other Natural and Physical Science Professionals,92063.0109697748,-10643.050802139,23851.5742782122,28002.3640910464,4150.78981283423,8573,,FALSE,black,plain
2400 Education Professionals,44595.3501725761,-8798.46043165468,6601.32606212739,9768.77181752307,3167.44575539568,3191,,FALSE,black,plain
2410 School Teacher - type not specified,24910.5118428654,-6036.05,1187.54843443096,2595.77798700173,1408.22955257077,1731,,FALSE,black,plain
2411 Early Childhood (Pre-primary School) Teachers,50298.3960504925,-6161.26020659124,8654.4225781773,10872.4762525501,2218.05367437285,20951,,FALSE,black,plain
2412 Primary School Teachers,64558.7593981623,-6604.13014128729,13788.1533833384,16098.1968911101,2310.04350777168,157771,Primary School Teachers,TRUE,black,plain
2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),66487.5099416469,-7518.24963396779,14482.5035789929,17078.9870535871,2596.48347459419,9276,,FALSE,black,plain
2414 Secondary School Teachers,72398.269058296,-7781.54688881649,16524.4028251121,19217.1282193739,2692.72539426175,145322,Secondary School Teachers,TRUE,black,plain
2415 Special Education Teachers,59058.4602462083,-7088.43411294923,11808.045688635,14359.8819692967,2551.83628066172,14714,,FALSE,black,plain
2419 Teacher - other school,64130.959499436,-7366.97078990675,13634.145419797,16213.7859498233,2579.64053002629,47121,,FALSE,black,plain
2421 University Lecturers and Tutors,81109.7549514185,-10275.6204390173,19579.8044310532,23587.29640227,4007.49197121674,61739,,FALSE,black,plain
2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),61117.1698975182,-7606.85651018601,12549.1811631066,15256.789110658,2707.6079475514,24345,,FALSE,black,plain
2491 Education Advisers and Reviewers,62347.9283175804,-7907.54182041821,12992.2541943289,15785.1371976095,2792.88300328058,13251,,FALSE,black,plain
2492 Private Tutors and Teachers,40343.4605326585,-6389.8162511542,5070.64579175705,7370.97964217256,2300.33385041551,16618,,FALSE,black,plain
2493 Teachers of English to Speakers of Other Languages,47081.0362780393,-6828.26821192053,7496.17306009416,9954.34961638555,2458.17655629139,3615,,FALSE,black,plain
2500 Health Professionals - type not specified,101743.111111111,-9138.6,27626.8133333333,31190.8673333333,3564.054,63,,FALSE,black,plain
2511 Dietitians,57638.9661864746,-7263.2365415987,11297.0278271309,13911.7929821064,2614.76515497553,5004,,FALSE,black,plain
2512 Medical Imaging Professionals,83319.7494603175,-9409.38420300214,20441.7022895238,24111.3621286946,3669.65983917084,15755,,FALSE,black,plain
2513 Occupational and Environmental Health Professionals,92662.2759378168,-10380.0245220283,24085.2876157486,28133.4971793396,4048.20956359103,11841,,FALSE,black,plain
2514 Optometrists and Orthoptists,84420.7533001515,-9980.69447708578,20871.0937870591,24763.5646331225,3892.47084606346,4625,,FALSE,black,plain
2515 Pharmacists,72048.7059641256,-9834.52829218107,16403.8035576233,19881.4613599596,3477.65780233627,22349,,FALSE,black,plain
2519 Other Health Diagnostic and Promotion Professionals,58933.904610103,-6999.57847533632,11763.2056596371,14283.0539107582,2519.84825112108,4084,,FALSE,black,plain
2521 Chiropractors and Osteopaths,70516.4954195676,-9597.08707865169,15875.1909197508,19191.2971743055,3316.1062545547,2738,,FALSE,black,plain
2522 Complementary Health Therapists,41789.5506912442,-6050.58935361217,5591.23824884792,7769.45041614831,2178.21216730038,3045,,FALSE,black,plain
2523 Dental Practitioners,139771.594913295,-15053.375267666,42457.922016185,48328.7383705747,5870.81635438972,8658,Dental Practitioners,TRUE,black,plain
2524 Occupational Therapists,59213.8152492669,-6175.4187432286,11863.9734897361,14087.1242372984,2223.1507475623,15015,,FALSE,black,plain
2525 Physiotherapists,65748.9932872942,-7125.72845293906,14216.6375834259,16688.7790003805,2472.14141695456,20729,,FALSE,black,plain
2526 Podiatrists,66325.1758436945,-7211.29360465116,14424.06330373,16917.0819596793,2493.01865594923,2818,,FALSE,black,plain
2527 Speech Professionals and Audiologists,62630.8921727834,-6907.67375231054,13094.121182202,15537.8052441574,2443.68406195538,9247,,FALSE,black,plain
2530 Medical Practitioners - type not specified,129439.79661017,-10347,38428.5206779661,42463.8506779661,4035.33,60,,FALSE,black,plain
2531 Generalist Medical Practitioners,138287.612515117,-15045.312878416,41879.1688808955,47746.8409034778,5867.67202258223,32263,Generalist Medical Practitioners,TRUE,black,plain
2532 Anaesthetists,359282.005347594,-21467.092161017,145995.182620321,156514.057779219,10518.8751588983,3181,Anaesthetists,TRUE,black,plain
2533 Internal Medicine Specialists,291353.268662187,-20055.5277141548,112710.101644472,122537.310224407,9827.2085799359,8191,Internal Medicine Specialists,TRUE,black,plain
2534 Psychiatrists,211178.1165084,-17096.6583850932,73424.2770891161,81801.6396978118,8377.36260869566,2740,Psychiatrists,TRUE,black,plain
2535 Surgeons,394395.987411487,-28184.0889092576,163201.033831629,177011.237397165,13810.2035655362,3822,Surgeons,TRUE,black,plain
2539 Other Medical Practitioners,199728.453684134,-16038.7348432056,67813.9423052256,75672.9223783963,7858.98007317072,27461,Other Medical Practitioners,TRUE,black,plain
2540 Midwifery and Nursing Professionals - type not specified,52562.7832585949,-9377.2972972973,9469.60197309417,12845.4290001212,3375.82702702703,669,,FALSE,black,plain
2541 Midwives,62829.796564482,-7188.25649220935,13165.7267632135,15703.2283045585,2537.501541345,18929,,FALSE,black,plain
2542 Nurse Educators and Researchers,66481.1267065501,-7389.34603811434,14480.205614358,17032.3130969092,2552.1074825512,6529,,FALSE,black,plain
2543 Nurse Managers,77406.5964650767,-9432.66892808684,18252.2757804514,21814.3135033338,3562.03772288231,4698,,FALSE,black,plain
2544 Registered Nurses,60227.4164615279,-7394.15399266566,12228.86992615,14876.4418066968,2647.57188054673,291101,Registered Nurses,TRUE,black,plain
2600 ICT Professionals,93035.6584507042,-10867.0714285714,24230.9067957747,28469.0646529175,4238.15785714286,284,,FALSE,black,plain
"2610 Business and Systems Analysts, and Programmers - type not specified",50244.2976190476,-1854.25,8634.94714285714,9302.47714285714,667.529999999999,84,,FALSE,black,plain
2611 ICT Business and Systems Analysts,100296.842519394,-10992.9408331656,27062.7685825637,31350.0155074983,4287.2469249346,27086,,FALSE,black,plain
2612 Multimedia Specialists and Web Developers,74095.1582394152,-8946.93640054127,17109.8295925982,20333.416909583,3223.58731698478,6569,,FALSE,black,plain
2613 Software and Applications Programmers,93877.8003485625,-10663.247234371,24559.3421359394,28718.0085573441,4158.66642140468,85520,,FALSE,black,plain
"2621 Database and Systems Administrators, and ICT Security Specialists",89205.4147805849,-10274.162132753,22737.1117644281,26744.0349962018,4006.92323177366,29657,,FALSE,black,plain
2631 Computer Network Professionals,93561.0374116409,-10909.8222324299,24435.8045905399,28690.6352611876,4254.83067064768,26605,,FALSE,black,plain
2632 ICT Support and Test Engineers,81687.0735357918,-10098.8867075665,19804.9586789588,23743.5244949097,3938.56581595092,13833,,FALSE,black,plain
2633 Telecommunications Engineering Professionals,103311.394612476,-11494.7785651019,28238.4438988658,32721.4075392555,4482.96364038972,6352,,FALSE,black,plain
2711 Barristers,118405.02039555,-17436.4186046512,34124.9579542645,40925.1612100785,6800.20325581396,1625,Barristers,TRUE,black,plain
2712 Judicial and Other Legal Professionals,198542.207301173,-14744.0430107527,67232.681577575,74457.2626528438,7224.58107526881,3073,Judicial,TRUE,black,plain
2713 Solicitors,122014.95006537,-10907.2524889049,35532.8305254942,39786.6589961671,4253.8284706729,51315,,FALSE,black,plain
2721 Counsellors,51648.1211700132,-7335.76723592663,9140.32362120475,11781.1998261383,2640.87620493358,14410,,FALSE,black,plain
2722 Ministers of Religion,31732.3523038457,-4873.75374064838,2760.7939838076,3784.28226934376,1023.48828553616,16832,,FALSE,black,plain
2723 Psychologists,71577.552646086,-7904.04680851064,16241.2556628997,18968.1518118358,2726.89614893618,18161,,FALSE,black,plain
2724 Social Professionals,45984.098942388,-7168.888,7101.27561925967,9682.07529925967,2580.79968,7191,,FALSE,black,plain
2725 Social Workers,56197.7738247168,-6648.28951521984,10778.198576898,13171.5828023772,2393.38422547914,38426,,FALSE,black,plain
"2726 Welfare, Recreation and Community Arts Workers",50027.3840011015,-5934.03137789905,8556.85824039653,10693.1095364402,2136.25129604366,7265,,FALSE,black,plain
3111 Agricultural Technicians,55066.6637710782,-6414.46951219512,10370.9989575881,12680.2079819784,2309.20902439024,1960,,FALSE,black,plain
3112 Medical Technicians,48482.7087110043,-6948.67361369557,8000.77513596156,10502.297636892,2501.52250093041,27487,,FALSE,black,plain
3113 Primary Products Inspectors,70543.8561296859,-7251.39566395664,15884.6303647416,18386.3618688067,2501.73150406504,4938,,FALSE,black,plain
3114 Science Technicians,54180.7825193122,-8002.82846003899,10052.0817069524,12933.0999525664,2881.01824561404,16060,,FALSE,black,plain
3120 Building and Engineering Technicians - type not specified,48569.414893617,-8940.28571428571,8031.98936170213,11250.492218845,3218.50285714286,282,,FALSE,black,plain
"3121 Architectural, Building and Surveying Technicians",81471.6257336549,-9148.07376414071,19720.9340361254,23288.6828041403,3567.74876801488,43983,,FALSE,black,plain
3122 Civil Engineering Draftspersons and Technicians,74421.8394086446,-8919.04671280277,17222.5345959824,20449.9455873645,3227.41099138209,8866,,FALSE,black,plain
3123 Electrical Engineering Draftspersons and Technicians,90883.6373560341,-9968.03351286655,23391.6185688533,27279.1516388712,3887.53307001796,9991,,FALSE,black,plain
3124 Electronic Engineering Draftspersons and Technicians,77771.3253764231,-9353.51193633952,18378.107254866,21925.6865519774,3547.57929711145,5447,,FALSE,black,plain
3125 Mechanical Engineering Draftspersons and Technicians,83843.3348038078,-9754.92294665538,20645.900573485,24450.3205226806,3804.4199491956,8614,,FALSE,black,plain
3126 Safety Inspectors,94257.8557356608,-10760.076402975,24707.5637369077,28903.993534068,4196.42979716025,8021,,FALSE,black,plain
3129 Other Building and Engineering Technicians,112292.71679096,-11977.0663028098,31741.1595484746,36412.2154065704,4671.05585809581,22135,,FALSE,black,plain
3131 ICT Support Technicians,63232.1625477707,-8362.29203539823,13310.5785171975,16247.0868311933,2936.50831399583,23563,,FALSE,black,plain
3132 Telecommunications Technical Specialists,90615.9867166745,-9499.08484848485,23287.2348195031,26991.8779104121,3704.64309090909,6400,,FALSE,black,plain
3211 Automotive Electricians,74645.0669238759,-8665.68210262829,17299.5480887372,20438.1921203367,3138.64403159944,6742,,FALSE,black,plain
3212 Motor Mechanics,66245.0640712678,-8198.49988312295,14395.2230656564,17230.0295642648,2834.8064986084,94688,,FALSE,black,plain
"3221 Metal Casting, Forging and Finishing Trades Workers",50519.5295019157,-7221.71428571429,8734.03062068966,11333.8477635468,2599.81714285714,1306,,FALSE,black,plain
3222 Sheetmetal Trades Workers,68075.9148152283,-7082.72327964861,15033.1906112538,17476.7301427325,2443.53953147877,8958,,FALSE,black,plain
3223 Structural Steel and Welding Trades Workers,73708.0505776709,-9268.12237498111,16976.2774492965,20307.7074515343,3331.43000223782,71521,,FALSE,black,plain
3231 Aircraft Maintenance Engineers,93928.5604954247,-10287.1749373434,24579.1385932156,28591.1368187796,4011.99822556391,10827,,FALSE,black,plain
3232 Metal Fitters and Machinists,89121.0984856772,-10177.308384231,22704.2284094141,26673.3786792642,3969.15026985009,64006,,FALSE,black,plain
3233 Precision Metal Trades Workers,54557.3412673879,-6804.15481171548,10187.6428562597,12637.1385884772,2449.49573221757,3235,,FALSE,black,plain
3234 Toolmakers and Engineering Patternmakers,67623.3183686374,-7786.88026607539,14877.0448371799,17563.5185289759,2686.47369179601,3165,,FALSE,black,plain
3241 Panelbeaters,58383.2611769201,-6811.79396984925,11564.9740236913,14017.219852837,2452.24582914573,10475,,FALSE,black,plain
3242 Vehicle Body Builders and Trimmers,58537.9316860465,-7295.12442396313,11620.6554069767,14246.9001996035,2626.24479262672,2753,,FALSE,black,plain
3243 Vehicle Painters,54633.3595170455,-6874.40326975477,10215.0094261364,12689.7946032481,2474.78517711172,7040,,FALSE,black,plain
3311 Bricklayers and Stonemasons,52359.0830210675,-7362.91003911343,9396.26988758431,12046.9175016651,2650.64761408083,12023,,FALSE,black,plain
3312 Carpenters and Joiners,61388.2959180932,-7255.3480465255,12646.7865305135,15229.0571677934,2582.2706372799,74482,,FALSE,black,plain
3321 Floor Finishers,51136.6781266919,-6389.11574074074,8956.2041256091,11256.2857922758,2300.08166666666,3696,,FALSE,black,plain
3322 Painting Trades Workers,48099.1839942242,-6972.55279503106,7862.70623792069,10372.8252441319,2510.11900621118,18015,,FALSE,black,plain
3331 Glaziers,56571.2363775902,-7031.89134808853,10912.6450959325,13444.1259812443,2531.48088531187,7819,,FALSE,black,plain
3332 Plasterers,55221.4017942748,-6730.4934086629,10426.7046459389,12849.6822730576,2422.97762711864,14612,,FALSE,black,plain
3333 Roof Tilers,46396.7938088829,-5332.40425531915,7249.84577119785,9169.51130311274,1919.66553191489,3717,,FALSE,black,plain
3334 Wall and Floor Tilers,44529.7363608184,-6952.33762886598,6577.70508989461,9080.54663628636,2502.84154639175,6459,,FALSE,black,plain
3341 Plumbers,67704.5782398942,-7577.63675055514,14905.0794927635,17519.364171705,2614.28467894153,51426,,FALSE,black,plain
3411 Electricians,91323.5356690751,-9720.55818433568,23563.1789109393,27354.1966028302,3791.01769189091,102742,,FALSE,black,plain
3421 Airconditioning and Refrigeration Mechanics,72814.5821129707,-8249.17191011236,16668.0308289749,19561.8640690024,2893.8332400275,15300,,FALSE,black,plain
3422 Electrical Distribution Trades Workers,98817.0350469552,-9119.81001283697,26485.6436683125,30042.3695733189,3556.72590500642,10331,,FALSE,black,plain
3423 Electronics Trades Workers,73315.892846651,-9203.9348810872,16840.9830320946,20129.7328138179,3288.74978172331,27244,,FALSE,black,plain
3424 Telecommunications Trades Workers,72247.4915362504,-8765.89228958211,16472.3845800064,19542.2196920747,3069.83511206829,15665,,FALSE,black,plain
3511 Bakers and Pastrycooks,44119.6125891947,-5676.74089490114,6430.06053211009,8473.68725427451,2043.62672216441,19624,,FALSE,black,plain
3512 Butchers and Smallgoods Makers,48194.1646522927,-6146.58950617284,7896.89927482539,10109.6714970476,2212.77222222222,16477,,FALSE,black,plain
3513 Chefs,43199.5629300182,-6870.45570885823,6098.84265480656,8572.20670999552,2473.36405518896,93401,,FALSE,black,plain
