Occupation,nIndividuals
3223 Structural Steel and Welding Trades Workers,71521
3231 Aircraft Maintenance Engineers,10827
3232 Metal Fitters and Machinists,64006
3233 Precision Metal Trades Workers,3235
3234 Toolmakers and Engineering Patternmakers,3165
3241 Panelbeaters,10475
3242 Vehicle Body Builders and Trimmers,2753
3243 Vehicle Painters,7040
3311 Bricklayers and Stonemasons,12023
3312 Carpenters and Joiners,74482
3321 Floor Finishers,3696
3322 Painting Trades Workers,18015
3331 Glaziers,7819
3332 Plasterers,14612
3333 Roof Tilers,3717
3334 Wall and Floor Tilers,6459
3341 Plumbers,51426
3411 Electricians,102742
3421 Airconditioning and Refrigeration Mechanics,15300
3422 Electrical Distribution Trades Workers,10331
3423 Electronics Trades Workers,27244
3424 Telecommunications Trades Workers,15665
3511 Bakers and Pastrycooks,19624
3512 Butchers and Smallgoods Makers,16477
3513 Chefs,93401
3514 Cooks,36489
3611 Animal Attendants and Trainers,9671
3612 Shearers,5534
3613 Veterinary Nurses,10158
3621 Florists,3665
3622 Gardeners,39256
3623 Greenkeepers,14219
3624 Nurserypersons,5042
3900 Other Technicians and Traders Workers - type not specified,19
3911 Hairdressers,34456
3920 Printing Trades Workers - type not specified,214
"3921 Binders, Finishers and Screen Printers",4379
3922 Graphic Pre-press Trades Workers,2082
3923 Printers,6927
3931 Canvas and Leather Goods Makers,1005
3932 Clothing Trades Workers,2888
3933 Upholsterers,1902
3941 Cabinetmakers,18644
3942 Wood Machinists and Other Wood Trades Workers,3418
3991 Boat Builders and Shipwrights,2695
"3992 Chemical, Gas, Petroleum and Power Generation Plant Operators",11367
"3993 Gallery, Library and Museum Technicians",6428
3994 Jewellers,2117
3995 Performing Arts Technicians,11107
3996 Signwriters,3261
3999 Other Miscellaneous Technicians and Trades Workers,25684
4110 Health and Welfare Support workers - type not specified,114
4111 Ambulance Officers and Paramedics,15649
"4112 Dental Hygienists, Technicians and Therapists",6245
4113 Diversional Therapists,1811
4114 Enrolled and Mothercraft Nurses,17892
4115 Indigenous Health Workers,2623
4116 Massage Therapists,6540
4117 Welfare Support Workers,80096
4211 Child Carers,127267
4221 Education Aides,79157
4230 Personal Carers and Assistants,2371
4231 Aged and Disabled Carers,123961
4232 Dental Assistants,27193
4233 Nursing Support and Personal Care Workers,76759
4234 Special Care Workers,2891
4310 Hospitality Workers - type not specified,2398
4311 Bar Attendants and Baristas,95609
4312 Cafe Workers,34322
4313 Gaming Workers,8654
4314 Hotel Service Managers,4582
4315 Waiters,121502
4319 Other Hospitality Workers,40925
4411 Defence Force Members - Other Ranks,24502
4412 Fire and Emergency Workers,17192
4413 Police,59566
4420 Prison and Security Officers - type not specified,4
4421 Prison Officers,16120
4422 Security Officers and Guards,53866
4500 Sports and Personal Service Workers - type not specified,29
4511 Beauty Therapists,18598
4512 Driving Instructors,1251
4513 Funeral Workers,3296
"4514 Gallery, Museum and Tour Guides",4690
4515 Personal Care Consultants,981
4516 Tourism and Travel Advisers,21532
4517 Travel Attendants,11995
4518 Other Personal Service Workers,6157
4521 Fitness Instructors,16345
4522 Outdoor Adventure Guides,2485
"4523 Sports Coaches, Instructors and Officials",28687
4524 Sportspersons,13488
5100 Office Managers and Program Administrators - type not specified,1010
"5111 Contract, Program and Project Administrators",114494
5121 Office Managers,196997
5122 Practice Managers,69096
5211 Personal Assistants,43838
5212 Secretaries,45404
5300 General Clerical Workers - type not specified,748
5310 Public servant - administrative service officer - levels 3-4,32328
5311 General Clerks,349220
5321 Keyboard Operators,18615
5411 Call or Contact Centre Workers,33537
5412 Inquiry Clerks,5830
5421 Receptionists,118303
5511 Accounting Clerks,96048
5512 Bookkeepers,38155
5513 Payroll Clerks,14908
5521 Bank Workers,68540
5522 Credit and Loans Officers,9365
"5523 Insurance, Money Market and Statistical Clerks",24767
5610 Public servant - administrative service officer - levels 1-2,16886
5611 Betting Clerks,2194
5612 Couriers and Postal Deliverers,24690
5613 Filing and Registry Clerks,1830
5614 Mail Sorters,8342
5615 Survey Interviewers,2951
5616 Switchboard Operators,2464
5619 Other Clerical and Office Support Workers,5525
5911 Purchasing and Supply Logistics Clerks,82308
5912 Transport and Despatch Clerks,16659
5991 Conveyancers and Legal Executives,10137
5992 Court and Legal Clerks,14549
5993 Debt Collectors,4172
5994 Human Resource Clerks,6612
5995 Inspectors and Regulatory Officers,16446
"5996 Insurance Investigators, Loss Adjusters and Risk Surveyors",1620
5997 Library Assistants,5513
5999 Other Miscellaneous Clerical and Administrative Workers,36704
6110 Insurance Agents and Sales Representatives - type not specified,7
"6111 Auctioneers, and Stock and Station Agents",1977
6112 Insurance Agents,8482
6113 Sales Representatives,150324
6121 Real Estate Sales Agents,66862
6200 Sales assistant - type not specified,87207
6211 Sales Assistants (General),293139
6212 ICT Sales Assistants,4354
6213 Motor Vehicle and Vehicle Parts Salespersons,11969
6214 Pharmacy Sales Assistants,36492
6215 Retail Supervisors,21291
6216 Service Station Attendants,4874
6217 Street Vendors and Related Salespersons,1164
6219 Other Sales Assistants and Salespersons,66750
6311 Checkout Operators and Office Cashiers,140672
6391 Models and Sales Demonstrators,19023
6392 Retail and Wool Buyers,4379
6393 Telemarketers,7469
6394 Ticket Salespersons,9482
6395 Visual Merchandisers,272
7100 Machine and Stationary Plant Operators - type not specified,641
"7111 Clay, Concrete, Glass and Stone Processing Machine Operators",6118
7112 Industrial Spraypainters,5553
7113 Paper and Wood Processing Machine Operators,6180
7114 Photographic Developers and Printers,1482
7115 Plastics and Rubber Production Machine Operators,5306
7116 Sewing Machinists,5726
7117 Textile and Footwear Production Machine Operators,1411
7119 Other Machine Operators,36873
"7121 Crane, Hoist and Lift Operators",9760
"7122 Drillers, Miners and Shot Firers",45382
7123 Engineering Production Systems Workers,2136
7129 Other Stationary Plant Operators,16214
7210 Mobile Plant Operators,356
"7211 Agricultural, Forestry and Horticultural Plant Operators",10898
7212 Earthmoving Plant Operators,43080
7213 Forklift Drivers,32381
7219 Other Mobile Plant Operators,10432
7300 Road and rail drivers - type not specified,703
7311 Automobile Drivers,3697
7312 Bus and Coach Drivers,38461
7313 Train and Tram Drivers,12079
7321 Delivery Drivers,41326
7331 Truck Drivers,155350
7411 Storepersons,137764
8110 Cleaners and Laundry Workers - type not specified,2675
8111 Car Detailers,13324
8112 Commercial Cleaners,105262
8113 Domestic Cleaners,12011
8114 Housekeepers,30895
8115 Laundry Workers,11440
8116 Other Cleaners,35653
8200 Labourer - type not specified,3019
8210 Construction and Mining Labourers. Construction worker - type not specified,583
8211 Building and Plumbing Labourers,67919
8212 Concreters,20543
8213 Fencers,3915
8214 Insulation and Home Improvement Installers,6466
8215 Paving and Surfacing Labourers,12602
8216 Railway Track Workers,4765
8217 Structural Steel Construction Workers,34358
8219 Other Construction and Mining Labourers,15625
8300 Factory Process Workers - type not specified,4908
8310 Food Process Workers - type not specified,344
8311 Food and Drink Factory Workers,40412
"8312 Meat Boners and Slicers, and Slaughterers",12300
"8313 Meat, Poultry and Seafood Process Workers",30587
8321 Packers,47302
8322 Product Assemblers,35938
8391 Metal Engineering Process Workers,10918
8392 Plastics and Rubber Factory Workers,3414
8393 Product Quality Controllers,2491
8394 Timber and Wood Process Workers,11610
8399 Other Factory Process Workers,56668
"8410 Farm, Forestry and Garden Workers - type not specified",4190
8411 Aquaculture Workers,2634
8412 Crop Farm Workers,44931
8413 Forestry and Logging Workers,5127
8414 Garden and Nursery Labourers,16361
8415 Livestock Farm Workers,31066
8416 Mixed Crop and Livestock Farm Workers,4173
"8419 Other Farm, Forestry and Garden Workers",24017
8511 Fast Food Cooks,34426
8512 Food Trades Assistants,9998
8513 Kitchenhands,93014
8910 Freight Handlers and Shelf Fillers - type not specified,44
8911 Freight and Furniture Handlers,10502
8912 Shelf Fillers,18075
8991 Caretakers,3491
8992 Deck and Fishing Hands,9487
8993 Handypersons,10829
8994 Motor Vehicle Parts and Accessories Fitters,10806
8995 Printing Assistants and Table Workers,3093
8996 Recycling and Rubbish Collectors,2768
8997 Vending Machine Attendants,912
8999 Other Miscellaneous Labourers,132322
9133 Consultant - construction manager,1073
9221 Consultant - tax accountant,1925
9222 Consultant - financial investment,2826
9223 Consultant - human resources,6881
9224 Consultant - management,19551
9225 Consultant - marketing and public relations,4852
9232 Consultant - urban and regional planner,371
9233 Consultant - engineering,5370
9234 Consultant - environmental,1464
9250 Consultant - medical,821
9251 Consultant - occupational health and safety,1743
9254 Consultant - clinical nurse,464
9261 Consultant - IT business analyst,16948
9311 Apprentice or trainee - agricultural or medical technician,464
9313 Apprentice or trainee - information technology technician or telecommunications technical specialist,718
9321 Apprentice or trainee - automotive mechanic or electrician,10341
9322 Apprentice or trainee - metal fabrication engineering trades worker,3636
9323 Apprentice or trainee - mechanical trades engineering trades worker,4323
9324 Apprentice or trainee - automotive - other,2484
"9331 Apprentice or trainee - bricklayer, or carpenter and joiner",19754
9332 Apprentice or trainee - floor finisher,1733
9333 Apprentice or trainee - tiler or plasterer,1969
9334 Apprentice or trainee - plumber,9774
9341 Apprentice or trainee - electrician,20655
9342 Apprentice or trainee - electronics or telecommunications trades worker,3711
9351 Apprentice or trainee - food trades worker,10547
"9361 Apprentice or trainee - animal attendant, trainer or shearer",588
9362 Apprentice or trainee - horticultural trades worker,1779
9391 Apprentice or trainee - hair dresser,3993
9392 Apprentice or trainee - printer or graphic artist,329
"9393 Apprentice or trainee - textile, clothing or footwear trades worker",116
9394 Apprentice or trainee - wood trades worker,569
9399 Apprentice or trainee - miscellaneous technicians or trades worker,640
9410 Apprentice or trainee - health and welfare support services,389
9420 Apprentice or trainee - care and community services,364
9431 Apprentice or trainee - hospitality,474
"9442 Consultant, apprentice or trainee - security and correctional services",595
"9451 Consultant, apprentice or trainee - personal service or travel",2239
9452 Apprentice or trainee - sport and recreation,527
9510 Apprentice or trainee - business services,991
9530 Apprentice or trainee - clerical services,994
9550 Apprentice or trainee - financial services,423
9552 Consultant - insurance (clerical),840
"9599 Consultant, apprentice or trainee - justice and legal services, insurance claims investigation",577
9611 Consultant - sales representative (wholesale),1261
9612 Consultant - real estate representative,2069
9621 Consultant - sales assistant (retail),6356
9712 Apprentice or trainee - miner,225
9730 Apprentice or trainee - transport and distribution driver,107
9741 Apprentice or trainee - storeperson,285
9811 Apprentice or trainee - cleaning services,997
"9831 Apprentice or trainee - food, drink or meat processor",153
"9841 Apprentice or trainee - farm, forestry or garden worker",324
"9899 Apprentice or trainee - deck or fishing hand, or autoglazier",248
9990 Occupation not matched,232929
9997 Miscellaneous type not specified,36001
