fy_year	sato	pto	sapto	family_status	lower_bracket	upper_bracket	taper	rate	lower_up_for_each_child	upper_up_for_each_child
2003-04	FALSE	FALSE	FALSE	individual	15530	16788	0.1	0.015		
2004-05	FALSE	FALSE	FALSE	individual	15903	17191	0.1	0.015		
2005-06	FALSE	FALSE	FALSE	individual	15903	17191	0.1	0.015		
2006-07	FALSE	FALSE	FALSE	individual	15902	17191	0.1	0.015		
2006-07	TRUE	TRUE	TRUE	individual	24867	29255	0.1	0.015		
2007-08	FALSE	FALSE	FALSE	individual	17309	20363	0.1	0.015		
2007-08	TRUE	TRUE	TRUE	individual	25867	30431	0.1	0.015		
2008-09	FALSE	FALSE	FALSE	individual	17794	20934	0.1	0.015		
2008-09	TRUE	TRUE	TRUE	individual	28867	33961	0.1	0.015		
2009-10	FALSE	FALSE	FALSE	individual	18488	21750	0.1	0.015		
2009-10	TRUE	TRUE	TRUE	individual	29867	35137	0.1	0.015		
2010-11	FALSE	FALSE	FALSE	individual	18839	22163	0.1	0.015		
2010-11	TRUE	TRUE	TRUE	individual	30685	36100	0.1	0.015		
2011-12	FALSE	FALSE	FALSE	individual	19404	22828	0.1	0.015		
2011-12	TRUE	TRUE	TRUE	individual	30685	36100	0.1	0.015		
2012-13			FALSE	family	33693	39639	0.1	0.015	3094	3640
2012-13			FALSE	individual	20542	24167	0.1	0.015		
2012-13			TRUE	family	46000	54118	0.1	0.015	3094	3640
2012-13			TRUE	individual	32279	37975	0.1	0.015		
2013-14			FALSE	family	34367	40431	0.1	0.015	3156	3713
2013-14			FALSE	individual	20542	24167	0.1	0.015		
2013-14			TRUE	family	46000	54118	0.1	0.015	3156	3713
2013-14			TRUE	individual	32279	37975	0.1	0.015		
2014-15			FALSE	family	35261	44077	0.1	0.02	3238	4048
2014-15			FALSE	individual	20896	26121	0.1	0.02		
2014-15			TRUE	family	46000	57501	0.1	0.02	3238	4048
2014-15			TRUE	individual	33044	41306	0.1	0.02		
2015-16			FALSE	family	35261	44077	0.1	0.02	3238	4048
2015-16			FALSE	individual	20896	26121	0.1	0.02		
2015-16			TRUE	family	46000	57501	0.1	0.02	3238	4048
2015-16			TRUE	individual	33044	41306	0.1	0.02		
2016-17			FALSE	family	36001	44077	0.1	0.02	3306	
2016-17			FALSE	individual	21335		0.1	0.02		
2016-17			TRUE	family	46966	57501	0.1	0.02	3306	
2016-17			TRUE	individual	33738		0.1	0.02		
