raw_name	R6	R5	R4	R3	R2	R1	col	sheet_name	k
Date	Outyears growth	Index	CPI Release				1	CPI	2
peCpi	Outyears growth	Index	"CPI, Australia
Published series"				2	CPI	2
peCpiG	Outyears growth	Quarterly growth	"CPI, Australia
Published series"				3	CPI	2
LagCpi	Outyears growth	Index	"CPI, Australia (First published)
"				4	CPI	2
peCpiFpG	Outyears growth	Quarterly growth	"CPI, Australia (First published)
"				5	CPI	2
peCpiFpSs	Outyears growth	Index	"CPI, Australia (First published)
Superseded September 2012"				6	CPI	2
peCpiFpSsG	Outyears growth	Quarterly Growth	"CPI, Australia (First published)
Superseded September 2012"				7	CPI	2
peCpiFpSsG		Quarterly Growth	"CPI, Australia (First published)
Superseded September 2012"				16	CPI	2
Date	Index	CPI Release					1	CPI_A	3
peCpi	Index	"CPI, Australia
Published series"					2	CPI_A	3
peCpiG	Quarterly growth	"CPI, Australia
Published series"					3	CPI_A	3
LagCpi	Index	"CPI, Australia (First published)
"					4	CPI_A	3
peCpiFpG	Quarterly growth	"CPI, Australia (First published)
"					5	CPI_A	3
peCpiFpSs	Index	"CPI, Australia (First published)
Superseded September 2012"					6	CPI_A	3
peCpiFpSsG	Annual Growth	"CPI, Australia (First published)
Superseded September 2012"					7	CPI_A	3
Date	Outyears growth	Index	Males Total Average Weekly Earnings	AWE Release			1	AWE	4
peMtaWe	Outyears growth	Index	Males Total Average Weekly Earnings	Original Survey Basis			2	AWE	4
peMtaWeG	Outyears growth	Quarterly Growth	Males Total Average Weekly Earnings	Original Survey Basis			3	AWE	4
peFtaWe	Outyears growth	Index	Females Total Average Weekly Earnings	Original Survey Basis			4	AWE	4
peFtaWeG	Outyears growth	Quarterly Growth	Females Total Average Weekly Earnings	Original Survey Basis			5	AWE	4
pePtaWe	Outyears growth	Index	All Persons Total Average Weekly Earnings	Original Survey Basis			6	AWE	4
pePtaWeG	Outyears growth	Quarterly Growth	All Persons Total Average Weekly Earnings	Original Survey Basis			7	AWE	4
