fy_year	HasDependant	HasPartner	LivesAtHome	Age16or17	ES	MBR
2000-01	0	0	0	0	0	285.6
2000-01	0	0	1	0	0	187.95
2000-01	0	0	1	1	0	156.35
2000-01	0	1	0	0	0	285.6
2000-01	1	0	0	0	0	374.2
2000-01	1	1	0	0	0	313.65
2001-02	0	0	0	0	0	295.9
2001-02	0	0	1	0	0	194.75
2001-02	0	0	1	1	0	161.95
2001-02	0	1	0	0	0	295.9
2001-02	1	0	0	0	0	387.7
2001-02	1	1	0	0	0	324.95
2002-03	0	0	0	0	0	305.9
2002-03	0	0	1	0	0	201.4
2002-03	0	0	1	1	0	167.4
2002-03	0	1	0	0	0	305.9
2002-03	1	0	0	0	0	400.85
2002-03	1	1	0	0	0	335.95
2003-04	0	0	0	0	0	314.3
2003-04	0	0	1	0	0	206.95
2003-04	0	0	1	1	0	172
2003-04	0	1	0	0	0	314.3
2003-04	1	0	0	0	0	411.9
2003-04	1	1	0	0	0	345.2
2004-05	0	0	0	0	0	322.351851851852
2004-05	0	0	1	0	0	212.203703703704
2004-05	0	0	1	1	0	176.418518518519
2004-05	0	1	0	0	0	322.351851851852
2004-05	1	0	0	0	0	422.407407407407
2004-05	1	1	0	0	0	353.988888888889
2005-06	0	0	0	0	0	330.6
2005-06	0	0	1	0	0	217.6
2005-06	0	0	1	1	0	180.95
2005-06	0	1	0	0	0	330.6
2005-06	1	0	0	0	0	433.15
2005-06	1	1	0	0	0	363
2006-07	0	0	0	0	0	341.4
2006-07	0	0	1	0	0	224.7
2006-07	0	0	1	1	0	186.85
2006-07	0	1	0	0	0	341.4
2006-07	1	0	0	0	0	447.25
2006-07	1	1	0	0	0	374.85
2007-08	0	0	0	0	0	351.75
2007-08	0	0	1	0	0	231.5
2007-08	0	0	1	1	0	192.5
2007-08	0	1	0	0	0	351.75
2007-08	1	0	0	0	0	460.8
2007-08	1	1	0	0	0	386.2
2008-09	0	0	0	0	0	363.4
2008-09	0	0	1	0	0	239.15
2008-09	0	0	1	1	0	198.9
2008-09	0	1	0	0	0	363.4
2008-09	1	0	0	0	0	476.1
2008-09	1	1	0	0	0	399
2009-10	0	0	0	0	0	374.2
2009-10	0	0	1	0	0	246.25
2009-10	0	0	1	1	0	204.8
2009-10	0	1	0	0	0	374.2
2009-10	1	0	0	0	0	490.25
2009-10	1	1	0	0	0	410.85
2010-11	0	0	0	0	0	382.85
2010-11	0	0	1	0	0	251.95
2010-11	0	0	1	1	0	209.5
2010-11	0	1	0	0	0	382.85
2010-11	1	0	0	0	0	501.55
2010-11	1	1	0	0	0	420.3
2011-12	0	0	0	0	0	395.7
2011-12	0	0	1	0	0	260.4
2011-12	0	0	1	1	0	216.55
2011-12	0	1	0	0	0	395.7
2011-12	1	0	0	0	0	518.35
2011-12	1	1	0	0	0	434.4
2012-13	0	0	0	0	0	405.1
2012-13	0	0	1	0	0	266.6
2012-13	0	0	1	1	0	221.7
2012-13	0	1	0	0	0	405.1
2012-13	1	0	0	0	0	530.65
2012-13	1	1	0	0	0	444.75
2013-14	0	0	0	0	3.5	410.95
2013-14	0	0	1	0	2.3	270.5
2013-14	0	0	1	1	1.95	224.9
2013-14	0	1	0	0	3.5	410.95
2013-14	1	0	0	0	4.6	538.35
2013-14	1	1	0	0	3.85	451.2
2014-15	0	0	0	0	7	420.6
2014-15	0	0	1	0	4.6	276.9
2014-15	0	0	1	1	3.9	230.2
2014-15	0	1	0	0	7	420.6
2014-15	1	0	0	0	9.2	551.05
2014-15	1	1	0	0	7.7	461.85
2015-16	0	0	0	0	7	429.881481481482
2015-16	0	0	1	0	4.6	283.022222222222
2015-16	0	0	1	1	3.9	235.285185185185
2015-16	0	1	0	0	7	429.881481481482
2015-16	1	0	0	0	9.2	563.244444444445
2015-16	1	1	0	0	7.7	472.07037037037
2016-17	0	0	0	0	7	435.35
2016-17	0	0	1	0	4.6	286.65
2016-17	0	0	1	1	3.9	238.3
2016-17	0	1	0	0	7	435.35
2016-17	1	0	0	0	9.2	570.45
2016-17	1	1	0	0	7.7	478.1
2017-18	0	0	0	0	7	441.65
2017-18	0	0	1	0	4.6	290.85
2017-18	0	0	1	1	3.9	241.8
2017-18	0	1	0	0	7	441.65
2017-18	1	0	0	0	9.2	578.75
2017-18	1	1	0	0	7.7	485.05
2018-19	0	0	0	0	7	450.25
2018-19	0	0	1	0	4.6	296.55
2018-19	0	0	1	1	3.9	246.55
2018-19	0	1	0	0	7	450.25
2018-19	1	0	0	0	9.2	590.05
2018-19	1	1	0	0	7.7	494.5
2019-20	0	0	0	0	7	459.7
2019-20	0	0	1	0	4.6	302.8
2019-20	0	0	1	1	3.9	251.75
2019-20	0	1	0	0	7	459.7
2019-20	1	0	0	0	9.2	602.45
2019-20	1	1	0	0	7.7	504.9
2020-21	0	0	0	0	7	470.5
2020-21	0	0	1	0	4.6	309.95
2020-21	0	0	1	1	3.9	257.7
2020-21	0	1	0	0	7	470.5
2020-21	1	0	0	0	9.2	616.6
2020-21	1	1	0	0	7.7	516.8
