Date	Standard rate	Married rate
1963-11-14	598	546
1964-10-01	624	572
1966-10-13	676	611
1968-10-10	728	650
1969-10-09	780	689
1970-10-08	806	715
1971-04-08	832	741
1971-10-07	897	793
1972-05-04	949	832
1972-10-05	1040	897
1972-12-14	1118	975
1973-10-04	1196	1053
1974-04-04	1352	1183
1974-08-08	1612	1339
1975-05-01	1872	1560
1975-11-13	2015	1677
1976-05-13	2145	1781
1976-11-11	2262	1885
1977-05-12	2449.2	2041
1977-11-10	2563.6	2137.2
1978-05-11	2675.4	2230.8
1978-11-09	2766.4	2306.2
1979-11-08	3010.8	2509
1980-05-08	3174.6	2644.2
1980-11-06	3333.2	2776.8
1981-05-07	3465.8	2888.6
1981-11-05	3624.4	3021.2
1982-05-06	3855.8	3213.6
1982-11-04	4017	3348.8
1983-05-05	4282.2	3569.8
1983-11-03	4466.8	3723.2
1984-05-03	4648.8	3876.6
1984-11-01	4778.8	3985.8
1985-05-02	4903.6	4089.8
1985-11-14	5090.8	4245.8
1986-05-01	5309.2	4427.8
1986-12-25	5522.4	4604.6
1987-06-25	5831.8	4862
1987-12-24	6037.2	5031
1988-06-23	6242.6	5202.6
1988-12-22	6461	5384.6
1989-06-22	6718.4	5600.4
1989-11-23	6947.2	5790.2
1990-04-26	7342.4	6120.4
1990-09-27	7584.2	6323.2
1991-03-28	7841.6	6539
1991-09-26	7841.6	6539
1992-03-26	7958.6	6637.8
1992-09-24	7958.6	6637.8
1993-01-28	8114.6	6767.8
1993-09-20	8221.2	6856.2
1994-03-20	8270.6	6897.8
1994-09-20	8361.6	6973.2
1995-03-20	8478.6	7072
1995-09-20	8733.4	7285.2
1996-03-20	8907.6	7430.8
1996-09-20	9006.4	7511.4
1997-03-20	9042.8	7542.6
1997-09-20	9042.8	7542.6
1998-03-20	9219.6	7690.8
1998-09-20	9289.8	7750.6
1999-03-20	9396.4	7841.6
1999-09-20	9529	7953.4
2000-03-20	9672	8073
2000-07-01	9672	8073
2000-09-20	9851.4	8223.8
2001-03-20	10049	8390.2
2001-09-20	10262.2	8569.6
2002-03-20	10550.8	8811.4
2002-09-20	10740.6	8970
2003-03-20	11018.8	9201.4
2003-09-20	11338.6	9469.2
2004-03-20	11629.8	9713.6
2004-09-20	11793.6	9848.8
2005-03-20	11934	9965.8
2005-09-20	12256.4	10233.6
2006-03-20	12529.4	10462.4
2006-09-20	12841.4	10725
2007-03-20	13176.8	11003.2
2007-09-20	13499.2	11273.6
2008-03-20	13728	11466
2008-09-20	14112.8	11785.8
2009-03-20	14307.8	11949.6
2009-09-20	16010.8	12069.2
2010-03-20	16749.2	12625.6
2010-09-20	17118.4	12903.8
2011-03-20	17443.4	13148.2
2011-09-20	17914	13504.4
2012-03-20	18077.8	13626.6
2012-09-20	18512	13954.2
2013-03-20	19076.2	14380.6
2013-09-20	19544.2	14731.6
2014-03-20	19916	15012.4
2014-09-20	20194.2	15223
2015-03-20	20337.2	15329.6
2015-09-20	20498.4	15451.8
2016-03-20	20664.8	15576.6
2016-09-20	20745.4	15639
