Date	type	threshold	deeming_rate_below	deeming_rate_above
1996-07-01	single	30000	0.05	0.07
1997-01-23	single	30000	0.04	0.06
1997-07-01	single	30400	0.04	0.06
1997-09-20	single	30400	0.03	0.05
1998-07-01	single	30400	0.03	0.05
1999-03-20	single	30400	0.03	0.045
1999-07-01	single	30800	0.03	0.045
2000-03-20	single	30800	0.035	0.055
2000-07-01	single	31600	0.035	0.055
2001-07-01	single	33400	0.03	0.045
2002-03-20	single	33400	0.025	0.04
2002-07-01	single	34400	0.025	0.04
2003-07-01	single	35600	0.025	0.04
2004-03-20	single	35600	0.03	0.05
2004-07-01	single	36400	0.03	0.05
2005-07-01	single	37200	0.03	0.05
2006-07-01	single	38400	0.03	0.05
2007-03-20	single	38400	0.035	0.055
2007-07-01	single	39400	0.035	0.055
2008-03-20	single	39400	0.04	0.06
2008-07-01	single	41000	0.04	0.06
2008-11-17	single	41000	0.03	0.05
2009-01-26	single	41000	0.03	0.04
2009-03-20	single	41000	0.02	0.03
2009-07-01	single	42000	0.02	0.03
2010-03-20	single	42000	0.03	0.045
2010-07-01	single	43200	0.03	0.045
2011-07-01	single	44600	0.03	0.045
2012-07-01	single	45400	0.03	0.045
2013-03-20	single	45400	0.025	0.04
2013-07-01	single	46600	0.025	0.04
2013-11-04	single	46600	0.02	0.035
2014-07-01	single	48000	0.02	0.035
2015-03-20	single	48000	0.0175	0.0325
2015-07-01	single	48600	0.0175	0.0325
2016-07-01	single	49200	0.0175	0.0325
1996-07-01	couple	50000	0.05	0.07
1997-01-23	couple	50000	0.04	0.06
1997-07-01	couple	50600	0.04	0.06
1997-09-20	couple	50600	0.03	0.05
1998-07-01	couple	50600	0.03	0.05
1999-03-20	couple	50600	0.03	0.045
1999-07-01	couple	51200	0.03	0.045
2000-03-20	couple	51200	0.035	0.055
2000-07-01	couple	52600	0.035	0.055
2001-07-01	couple	55800	0.03	0.045
2002-03-20	couple	55800	0.025	0.04
2002-07-01	couple	57400	0.025	0.04
2003-07-01	couple	59400	0.025	0.04
2004-03-20	couple	59400	0.03	0.05
2004-07-01	couple	60600	0.03	0.05
2005-07-01	couple	62000	0.03	0.05
2006-07-01	couple	63800	0.03	0.05
2007-03-20	couple	63800	0.035	0.055
2007-07-01	couple	65400	0.035	0.055
2008-03-20	couple	65400	0.04	0.06
2008-07-01	couple	68200	0.04	0.06
2008-11-17	couple	68200	0.03	0.05
2009-01-26	couple	68200	0.03	0.04
2009-03-20	couple	68200	0.02	0.03
2009-07-01	couple	70000	0.02	0.03
2010-03-20	couple	70000	0.03	0.045
2010-07-01	couple	72000	0.03	0.045
2011-07-01	couple	74400	0.03	0.045
2012-07-01	couple	75600	0.03	0.045
2013-03-20	couple	75600	0.025	0.04
2013-07-01	couple	77400	0.025	0.04
2013-11-04	couple	77400	0.02	0.035
2014-07-01	couple	79600	0.02	0.035
2015-03-20	couple	79600	0.0175	0.0325
2015-07-01	couple	80600	0.0175	0.0325
2016-07-01	couple	81600	0.0175	0.0325
1996-07-01	nonpensioner couple	25000	0.05	0.07
1997-01-23	nonpensioner couple	25000	0.04	0.06
1997-07-01	nonpensioner couple	25300	0.04	0.06
1997-09-20	nonpensioner couple	25300	0.03	0.05
1998-07-01	nonpensioner couple	25300	0.03	0.05
1999-03-20	nonpensioner couple	25300	0.03	0.045
1999-07-01	nonpensioner couple	25600	0.03	0.045
2000-03-20	nonpensioner couple	25600	0.035	0.055
2000-07-01	nonpensioner couple	26300	0.035	0.055
2001-07-01	nonpensioner couple	27900	0.03	0.045
2002-03-20	nonpensioner couple	27900	0.025	0.04
2002-07-01	nonpensioner couple	28700	0.025	0.04
2003-07-01	nonpensioner couple	29700	0.025	0.04
2004-03-20	nonpensioner couple	29700	0.03	0.05
2004-07-01	nonpensioner couple	30300	0.03	0.05
2005-07-01	nonpensioner couple	31000	0.03	0.05
2006-07-01	nonpensioner couple	31900	0.03	0.05
2007-03-20	nonpensioner couple	31900	0.035	0.055
2007-07-01	nonpensioner couple	32700	0.035	0.055
2008-03-20	nonpensioner couple	32700	0.04	0.06
2008-07-01	nonpensioner couple	34100	0.04	0.06
2008-11-17	nonpensioner couple	34100	0.03	0.05
2009-01-26	nonpensioner couple	34100	0.03	0.04
2009-03-20	nonpensioner couple	34100	0.02	0.03
2009-07-01	nonpensioner couple	35000	0.02	0.03
2010-03-20	nonpensioner couple	35000	0.03	0.045
2010-07-01	nonpensioner couple	36000	0.03	0.045
2011-07-01	nonpensioner couple	37200	0.03	0.045
2012-07-01	nonpensioner couple	37800	0.03	0.045
2013-03-20	nonpensioner couple	37800	0.025	0.04
2013-07-01	nonpensioner couple	38700	0.025	0.04
2013-11-04	nonpensioner couple	38700	0.02	0.035
2014-07-01	nonpensioner couple	39800	0.02	0.035
2015-03-20	nonpensioner couple	39800	0.0175	0.0325
2015-07-01	nonpensioner couple	40300	0.0175	0.0325
2016-07-01	nonpensioner couple	40800	0.0175	0.0325
