fy_year	partnerIsPensioner	Age	partner_income_free_area
2004-05	0	0	547
2004-05	0	22	650
2004-05	0	65	650
2004-05	1	0	547
2004-05	1	22	650
2004-05	1	65	650
2005-06	0	0	559
2005-06	0	22	665
2005-06	0	65	665
2005-06	1	0	559
2005-06	1	22	665
2005-06	1	65	665
2006-07	0	0	664
2006-07	0	22	795
2006-07	0	65	795
2006-07	1	0	664
2006-07	1	22	795
2006-07	1	65	795
2007-08	0	0	681
2007-08	0	22	813
2007-08	0	65	813
2007-08	1	0	681
2007-08	1	22	813
2007-08	1	65	813
2008-09	0	0	700
2008-09	0	22	841
2008-09	0	65	841
2008-09	1	0	700
2008-09	1	22	841
2008-09	1	65	841
2009-10	0	0	718
2009-10	0	22	857
2009-10	0	65	857
2009-10	1	0	718
2009-10	1	22	857
2009-10	1	65	857
2010-11	0	0	733
2010-11	0	22	877
2010-11	0	65	877
2010-11	1	0	733
2010-11	1	22	877
2010-11	1	65	877
2011-12	0	0	754
2011-12	0	22	903
2011-12	0	65	903
2011-12	1	0	754
2011-12	1	22	903
2011-12	1	65	903
2012-13	0	0	837
2012-13	0	22	920
2012-13	0	65	920
2012-13	1	0	837
2012-13	1	22	920
2012-13	1	65	920
2013-14	0	0	853
2013-14	0	22	955
2013-14	0	65	955
2013-14	1	0	853
2013-14	1	22	955
2013-14	1	65	955
2014-15	0	0	875
2014-15	0	22	1000
2014-15	0	65	1000
2014-15	1	0	875
2014-15	1	22	1000
2014-15	1	65	1000
2015-16	0	0	890
2015-16	0	22	1016
2015-16	0	65	1016
2015-16	1	0	890
2015-16	1	22	1016
2015-16	1	65	1016
2016-17	0	0	900
2016-17	0	22	1030
2016-17	0	65	1030
2016-17	1	0	900
2016-17	1	22	1030
2016-17	1	65	1030
2017-18	0	0	910
2017-18	0	22	1045
2017-18	0	65	1045
2017-18	1	0	910
2017-18	1	22	1045
2017-18	1	65	1045
2018-19	0	0	924
2018-19	0	22	1063
2018-19	0	65	1063
2018-19	1	0	924
2018-19	1	22	1063
2018-19	1	65	1063
2019-20	0	0	940
2019-20	0	22	1082
2019-20	0	65	1082
2019-20	1	0	940
2019-20	1	22	1082
2019-20	1	65	1082
2020-21	0	0	958
2020-21	0	22	1107
2020-21	0	65	1107
2020-21	1	0	958
2020-21	1	22	1107
2020-21	1	65	1107
