Date	type	permissible_income
1997-07-01T00:00:00Z	single	2600
1998-07-01T00:00:00Z	single	2600
1999-07-01T00:00:00Z	single	2652
2000-07-01T00:00:00Z	single	2756
2001-07-01T00:00:00Z	single	2912
2002-07-01T00:00:00Z	single	3016
2003-07-01T00:00:00Z	single	3120
2004-07-01T00:00:00Z	single	3172
2005-07-01T00:00:00Z	single	3224
2006-07-01T00:00:00Z	single	3328
2007-07-01T00:00:00Z	single	3432
2008-07-01T00:00:00Z	single	3588
2009-07-01T00:00:00Z	single	3692
2010-07-01T00:00:00Z	single	3796
2011-07-01T00:00:00Z	single	3900
2012-07-01T00:00:00Z	single	3952
2013-07-01T00:00:00Z	single	4056
2014-07-01T00:00:00Z	single	4160
2015-07-01T00:00:00Z	single	4212
2016-07-01T00:00:00Z	single	4264
1997-07-01T00:00:00Z	Couple	2288
1998-07-01T00:00:00Z	Couple	2288
1999-07-01T00:00:00Z	Couple	2340
2000-07-01T00:00:00Z	Couple	2444
2001-07-01T00:00:00Z	Couple	2600
2002-07-01T00:00:00Z	Couple	2652
2003-07-01T00:00:00Z	Couple	2756
2004-07-01T00:00:00Z	Couple	2808
2005-07-01T00:00:00Z	Couple	2860
2006-07-01T00:00:00Z	Couple	2964
2007-07-01T00:00:00Z	Couple	3016
2008-07-01T00:00:00Z	Couple	3120
2009-07-01T00:00:00Z	Couple	3224
2010-07-01T00:00:00Z	Couple	3328
2011-07-01T00:00:00Z	Couple	3432
2012-07-01T00:00:00Z	Couple	3484
2013-07-01T00:00:00Z	Couple	3588
2014-07-01T00:00:00Z	Couple	3692
2015-07-01T00:00:00Z	Couple	3744
2016-07-01T00:00:00Z	Couple	3796
