fy_year	hasPartner	hasDependant	ES	MBR
2000-01	0	0	0	351.32
2000-01	0	1	0	379.89
2000-01	1	1	0	316.9
2001-02	0	0	0	364.22
2001-02	0	1	0	393.86
2001-02	1	1	0	328.54
2002-03	0	0	0	374.94
2002-03	0	1	0	405.46
2002-03	1	1	0	338.14
2003-04	0	0	0	385
2003-04	0	1	0	416.42
2003-04	1	1	0	347.28
2004-05	0	0	0	394.79
2004-05	0	1	0	427.1
2004-05	1	1	0	356.19
2005-06	0	0	0	405.38
2005-06	0	1	0	438.55
2005-06	1	1	0	365.79
2006-07	0	0	0	419.97
2006-07	0	1	0	454.27
2006-07	1	1	0	378.93
2007-08	0	0	0	430.99
2007-08	0	1	0	466.18
2007-08	1	1	0	388.87
2008-09	0	0	0	447.56
2008-09	0	1	0	484.14
2008-09	1	1	0	403.83
2009-10	0	0	0	457.21
2009-10	0	1	0	494.62
2009-10	1	1	0	412.59
2010-11	0	0	0	469.51
2010-11	0	1	0	507.98
2010-11	1	1	0	423.81
2011-12	0	0	0	484.83
2011-12	0	1	0	524.51
2011-12	1	1	0	437.63
2012-13	0	0	2.26	493.12
2012-13	0	1	2.45	533.55
2012-13	1	1	2.05	445.15
2013-14	0	0	8.53	502.63
2013-14	0	1	9.23	543.88
2013-14	1	1	7.7	453.78
2014-15	0	0	8.78	515.39
2014-15	0	1	9.48	557.68
2014-15	1	1	7.88	465.33
2015-16	0	0	8.8	523.71
2015-16	0	1	9.5	566.63
2015-16	1	1	7.9	472.88
2016-17	0	0	8.8	530.61
2016-17	0	1	9.5	573.97
2016-17	1	1	7.9	479.12
2017-18	0	0	8.8	539.85
2017-18	0	1	9.5	583.91
2017-18	1	1	7.9	487.45
2018-19	0	0	8.8	550.41
2018-19	0	1	9.5	595.37
2018-19	1	1	7.9	497.05
2019-20	0	0	8.8	562.1
2019-20	0	1	9.5	608.04
2019-20	1	1	7.9	507.67
2020-21	0	0	8.8	576.11
2020-21	0	1	9.5	623.23
2020-21	1	1	7.9	520.38
