"","2018-19","2019-20","2020-21","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","2027-28"
"Budget2018_baseline",-0.04,-0.08,-0.12,-0.17,-0.22,-0.26,-0.31,-0.36,-0.41,-0.46
"Budget2018_baseline_brackets_cpi",-2.23,-4.3,-6.48,-8.77,-11.16,-13.66,-16.26,-18.98,-21.8,-24.73
"Budget2018_baseline_no_SBTO",0.15,0.11,0.07,0.03,-0.02,-0.06,-0.11,-0.15,-0.2,-0.24
"Budget2018_just_rates",-0.41,-0.47,-0.54,-0.61,-5.67,-5.88,-15.2,-15.93,-16.69,-17.46
"Budget2018_just_LITO",-0.04,-0.08,-0.12,-0.17,-0.75,-0.8,-0.85,-0.9,-0.95,-1
"Budget2018_just_LITO_and_rates",-0.41,-0.47,-0.54,-0.61,-6.21,-6.42,-15.73,-16.47,-17.23,-18
"Budget2018_just_lamington",-3.73,-3.85,-3.98,-4.09,-4.21,-4.33,-4.44,-4.55,-4.67,-4.78
"Budget2018_lamington_plus_LITO",-3.73,-3.85,-3.98,-4.09,-0.75,-0.8,-0.85,-0.9,-0.95,-1
"Budget2018_lamington_plus_bracket1",-3.73,-3.85,-3.98,-4.09,-0.75,-0.8,-0.85,-0.9,-0.95,-1
"Budget2018_no_SBTO",-3.92,-4.07,-4.21,-4.34,-6.02,-6.23,-15.53,-16.27,-17.03,-17.8
"Budget2018",-4.1,-4.25,-4.39,-4.53,-6.21,-6.42,-15.73,-16.47,-17.23,-18
"ALP2018_no_SBTO",-6.68,-6.88,-7.08,-7.27,-7.46,-7.65,-7.83,-8.02,-8.2,-8.38
"ALP2018",-6.86,-7.06,-7.26,-7.45,-7.65,-7.84,-8.03,-8.21,-8.4,-8.58
