"","2018-19","2019-20","2020-21","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","2027-28"
"Budget2018_baseline",0,-0.05,-0.09,-0.13,-0.18,-0.22,-0.27,-0.31,-0.35,-0.39
"Budget2018_baseline_brackets_cpi",-2.21,-4.31,-6.54,-8.9,-11.41,-14.06,-16.85,-19.79,-22.89,-26.13
"Budget2018_baseline_no_SBTO",0.18,0.14,0.1,0.06,0.02,-0.02,-0.06,-0.1,-0.14,-0.18
"Budget2018_just_rates",-0.38,-0.45,-0.52,-0.59,-5.75,-6,-16.4,-17.42,-18.49,-19.6
"Budget2018_just_LITO",0,-0.05,-0.09,-0.13,-0.7,-0.74,-0.78,-0.82,-0.86,-0.89
"Budget2018_just_LITO_and_rates",-0.38,-0.45,-0.52,-0.59,-6.27,-6.51,-16.91,-17.93,-19,-20.1
"Budget2018_just_lamington",-3.7,-3.82,-3.94,-4.05,-0.18,-0.22,-0.27,-0.31,-0.35,-0.39
"Budget2018_lamington_plus_LITO",-3.7,-3.82,-3.94,-4.05,-0.7,-0.74,-0.78,-0.82,-0.86,-0.89
"Budget2018_no_SBTO",-3.9,-4.04,-4.19,-4.32,-6.08,-6.32,-16.71,-17.73,-18.79,-19.89
"Budget2018",-4.08,-4.22,-4.37,-4.51,-6.27,-6.51,-16.91,-17.93,-19,-20.1
"ALP2018_no_SBTO",-0.19,-6.86,-7.06,-7.25,-7.44,-7.62,-7.79,-7.95,-8.11,-8.26
"ALP2018",-4.08,-7.04,-7.24,-7.43,-7.62,-7.81,-7.98,-8.15,-8.31,-8.46
