"","2018-19","2019-20","2020-21","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","2027-28"
"Budget2018_baseline",0,-0.05,-0.09,-0.14,-0.19,-0.24,-0.29,-0.34,-0.39,-0.45
"Budget2018_baseline_brackets_cpi",-2.19,-4.23,-6.36,-8.55,-10.83,-13.17,-15.58,-18.04,-20.57,-23.15
"Budget2018_baseline_no_SBTO",0.18,0.14,0.1,0.06,0.01,-0.03,-0.08,-0.13,-0.18,-0.23
"Budget2018_just_rates",-0.37,-0.43,-0.49,-0.56,-5.51,-5.69,-13.95,-14.41,-14.86,-15.3
"Budget2018_just_LITO",0,-0.05,-0.09,-0.14,-0.74,-0.79,-0.85,-0.91,-0.97,-1.03
"Budget2018_just_LITO_and_rates",-0.37,-0.43,-0.49,-0.56,-6.06,-6.25,-14.52,-14.98,-15.44,-15.88
"Budget2018_just_lamington",-3.7,-3.82,-3.94,-4.06,-4.18,-4.3,-4.42,-4.55,-4.67,-4.8
"Budget2018_lamington_plus_LITO",-3.7,-3.82,-3.94,-4.06,-0.74,-0.79,-0.85,-0.91,-0.97,-1.03
"Budget2018_no_SBTO",-3.89,-4.02,-4.16,-4.29,-5.87,-6.05,-14.32,-14.77,-15.23,-15.67
"Budget2018",-4.07,-4.2,-4.34,-4.48,-6.06,-6.25,-14.52,-14.98,-15.44,-15.88
"ALP2018_no_SBTO",-0.18,-6.84,-7.03,-7.21,-7.4,-7.59,-7.78,-7.96,-8.15,-8.34
"ALP2018",-4.07,-7.01,-7.21,-7.4,-7.59,-7.78,-7.97,-8.16,-8.35,-8.54
