fy_year,Breaks,avg_delta,Financial year ending,Income bracket
2018-19,0,-80.3,2019,$0
2018-19,37000,-258.7,2019,"$37,000"
2018-19,41000,-506.2,2019,"$41,000"
2018-19,87000,-596.1,2019,"$87,000"
2018-19,90000,-469.7,2019,"$90,000"
2018-19,120000,-141.2,2019,"$120,000"
2018-19,180000,-135,2019,"$180,000"
2018-19,2e+05,-135,2019,"$200,000"
2019-20,0,-93.3,2020,$0
2019-20,37000,-273.8,2020,"$37,000"
2019-20,41000,-508.1,2020,"$41,000"
2019-20,87000,-597.6,2020,"$87,000"
2019-20,90000,-468.5,2020,"$90,000"
2019-20,120000,-141.2,2020,"$120,000"
2019-20,180000,-135,2020,"$180,000"
2019-20,2e+05,-135,2020,"$200,000"
2020-21,0,-100.3,2021,$0
2020-21,37000,-280.7,2021,"$37,000"
2020-21,41000,-509.6,2021,"$41,000"
2020-21,87000,-596.1,2021,"$87,000"
2020-21,90000,-466.6,2021,"$90,000"
2020-21,120000,-141.3,2021,"$120,000"
2020-21,180000,-135,2021,"$180,000"
2020-21,2e+05,-135,2021,"$200,000"
2021-22,0,-106.8,2022,$0
2021-22,37000,-286.8,2022,"$37,000"
2021-22,41000,-511.1,2022,"$41,000"
2021-22,87000,-596.1,2022,"$87,000"
2021-22,90000,-464.7,2022,"$90,000"
2021-22,120000,-141.3,2022,"$120,000"
2021-22,180000,-135,2022,"$180,000"
2021-22,2e+05,-135,2022,"$200,000"
2022-23,0,-113.4,2023,$0
2022-23,37000,-402.5,2023,"$37,000"
2022-23,41000,-543.4,2023,"$41,000"
2022-23,87000,-607.4,2023,"$87,000"
2022-23,90000,-1278.1,2023,"$90,000"
2022-23,120000,-2024.8,2023,"$120,000"
2022-23,180000,-2024.9,2023,"$180,000"
2022-23,2e+05,-2024.8,2023,"$200,000"
2023-24,0,-119.5,2024,$0
2023-24,37000,-407.6,2024,"$37,000"
2023-24,41000,-544.6,2024,"$41,000"
2023-24,87000,-607,2024,"$87,000"
2023-24,90000,-1284.4,2024,"$90,000"
2023-24,120000,-2024.8,2024,"$120,000"
2023-24,180000,-2024.9,2024,"$180,000"
2023-24,2e+05,-2024.9,2024,"$200,000"
2024-25,0,-125,2025,$0
2024-25,37000,-414.8,2025,"$37,000"
2024-25,41000,-545.8,2025,"$41,000"
2024-25,87000,-607.3,2025,"$87,000"
2024-25,90000,-1287.9,2025,"$90,000"
2024-25,120000,-3106.3,2025,"$120,000"
2024-25,180000,-5906.7,2025,"$180,000"
2024-25,2e+05,-7224.5,2025,"$200,000"
2025-26,0,-130.3,2026,$0
2025-26,37000,-418.1,2026,"$37,000"
2025-26,41000,-547.1,2026,"$41,000"
2025-26,87000,-605.7,2026,"$87,000"
2025-26,90000,-1288.4,2026,"$90,000"
2025-26,120000,-3109.2,2026,"$120,000"
2025-26,180000,-5895.4,2026,"$180,000"
2025-26,2e+05,-7224.5,2026,"$200,000"
2026-27,0,-134.8,2027,$0
2026-27,37000,-418.4,2027,"$37,000"
2026-27,41000,-548.7,2027,"$41,000"
2026-27,87000,-606.5,2027,"$87,000"
2026-27,90000,-1295.8,2027,"$90,000"
2026-27,120000,-3125,2027,"$120,000"
2026-27,180000,-5913.2,2027,"$180,000"
2026-27,2e+05,-7224.6,2027,"$200,000"
2027-28,0,-139.1,2028,$0
2027-28,37000,-418.5,2028,"$37,000"
2027-28,41000,-550.4,2028,"$41,000"
2027-28,87000,-605.9,2028,"$87,000"
2027-28,90000,-1296.5,2028,"$90,000"
2027-28,120000,-3134.5,2028,"$120,000"
2027-28,180000,-5906.7,2028,"$180,000"
2027-28,2e+05,-7224.6,2028,"$200,000"
